factor,horizon,period,ic,rank_ic,spread_qhigh_qlow,sample_count,split
sweep_pin_bar_long,3,2021,-0.043393242100852804,-0.07393574167767716,0.00021924341006891571,155,train
sweep_pin_bar_long,3,2022,-0.016955416755996724,-0.020802423525934685,0.0005182643194074687,201,train
sweep_pin_bar_long,3,2023,0.0038302734851176114,0.024275649354604755,0.00033810397766782666,289,train
sweep_pin_bar_long,3,2024,-0.09358103231842092,-0.09292165404121051,-0.0005503460534040701,211,mixed
sweep_pin_bar_long,3,2025,0.06732669226445737,0.07426545086119556,0.00022400574917203414,189,test
sweep_pin_bar_long,3,2026,-0.12893033498465206,-0.08603145235892691,-0.0010875865172770326,46,test
sweep_pin_bar_long,6,2021,-0.010786992682869428,0.036463536463536464,-0.0003407432625177092,155,train
sweep_pin_bar_long,6,2022,-0.02268600329474613,0.004053101327533189,0.00027145730327081673,200,train
sweep_pin_bar_long,6,2023,-0.005120611267274725,0.01677927673191316,0.00016685597714412187,289,train
sweep_pin_bar_long,6,2024,-0.0023170704100155095,-0.022538036049616128,0.0010400231452873956,211,mixed
sweep_pin_bar_long,6,2025,0.022127519317759848,-0.004582377930642209,-0.0008004848484227198,189,test
sweep_pin_bar_long,6,2026,0.00606044690345861,0.06654332408263954,-0.0004346852295146029,46,test
sweep_pin_bar_long,12,2021,-0.018375971188749674,-0.034088492153008285,-0.00018811991613382336,155,train
sweep_pin_bar_long,12,2022,0.051419093871972264,0.06244342772159521,0.0026871615595837808,198,train
sweep_pin_bar_long,12,2023,0.03002904026367392,-0.012430979817209156,0.0007945266901130076,288,train
sweep_pin_bar_long,12,2024,0.0100339214180712,0.034205505145889284,0.0019760210185774812,210,mixed
sweep_pin_bar_long,12,2025,0.02552737633793533,0.021153948701541088,-0.0013380215130458942,189,test
sweep_pin_bar_long,12,2026,-0.2696532776141025,-0.19765649090348444,-0.009653568101974446,46,test
sweep_pin_bar_long,24,2021,-0.043179981605299615,-0.01417614643421095,0.000110308636608639,155,train
sweep_pin_bar_long,24,2022,0.0515307615531129,0.06536373607771205,0.00160339571726001,198,train
sweep_pin_bar_long,24,2023,0.00366136094263693,-0.004001081236111892,-0.0012148277839955683,287,train
sweep_pin_bar_long,24,2024,0.055140708950323296,0.017646541101918677,0.0027389101301178035,208,mixed
sweep_pin_bar_long,24,2025,-0.006715498138824063,0.006502070779786345,-0.0015358691688766865,189,test
sweep_pin_bar_long,24,2026,-0.2006660410208923,-0.2638914585260561,-0.006127689352170343,46,test
sweep_pin_bar_short,3,2021,-0.013587531952133977,-0.03482590434900419,-0.0009433893821441062,121,train
sweep_pin_bar_short,3,2022,0.02533319768489173,0.06890159201754728,8.012936627438893e-05,227,train
sweep_pin_bar_short,3,2023,-0.047399642857694615,-0.007563778930529741,-0.0006394274151577437,235,train
sweep_pin_bar_short,3,2024,-0.07376940485584582,-0.15597983278279148,-0.000857496986149043,156,mixed
sweep_pin_bar_short,3,2025,0.007222494831544401,-0.023424845713817068,-0.00045512109813962783,152,test
sweep_pin_bar_short,3,2026,-0.16538555058289772,-0.15165609584214232,-0.0033177443753906037,44,test
sweep_pin_bar_short,6,2021,0.016237979812256446,-0.04319197940658446,-0.0002453447328617742,121,train
sweep_pin_bar_short,6,2022,0.040404278994184355,0.0725005078287704,-0.00033837577018592374,227,train
sweep_pin_bar_short,6,2023,-0.05972054436791762,-0.02815057283142389,-0.0016121425206426995,235,train
sweep_pin_bar_short,6,2024,-0.006767027259262273,-0.05360123747220521,-7.040127169849437e-05,155,mixed
sweep_pin_bar_short,6,2025,-0.06654884597843204,-0.027573315837314358,-0.0023544194792828148,152,test
sweep_pin_bar_short,6,2026,-0.015495920544643531,0.020014094432699085,-0.000615517768372219,44,test
sweep_pin_bar_short,12,2021,0.037952891679471634,0.010841030627126883,0.0011754927192857202,120,train
sweep_pin_bar_short,12,2022,0.06456828520397564,0.09586986451743958,9.109436601482409e-05,227,train
sweep_pin_bar_short,12,2023,-0.1353099445369603,-0.10802946991344209,-0.0032210464101787278,233,train
sweep_pin_bar_short,12,2024,0.019981664804911023,-0.01908091908091908,-0.00019392745682840083,155,mixed
sweep_pin_bar_short,12,2025,0.038296969808620546,0.00982442471586055,-0.0006520679975112947,152,test
sweep_pin_bar_short,12,2026,0.06562142376863964,0.1310782241014799,0.004433319668823916,44,test
sweep_pin_bar_short,24,2021,-0.05874763079790141,-0.08367942218209597,-0.0036878380163379186,120,train
sweep_pin_bar_short,24,2022,6.939657485902685e-05,0.006956453939417567,-0.002544736304880023,226,train
sweep_pin_bar_short,24,2023,-0.13149707121297807,-0.1126637979711443,-0.005003450520695958,231,train
sweep_pin_bar_short,24,2024,0.0897496285580564,0.07552839317545201,0.0012908960085588426,154,mixed
sweep_pin_bar_short,24,2025,-0.050079269131019885,-0.07602293435263789,-0.0029835631132068136,150,test
sweep_pin_bar_short,24,2026,0.09464446446594667,0.1157152924594785,0.006030244616481918,44,test
