factor_a,factor_b,pearson,spearman,sample_count
body_position_ratio,upper_wick_to_body_ratio,-0.28157515125909277,-0.5795596078746617,259201
body_position_ratio,lower_wick_to_body_ratio,0.2806611754123446,0.5782021459274505,259201
upper_wick_to_body_ratio,friction_cover_ratio,0.07863091612058541,0.2716328182473974,259188
lower_wick_to_body_ratio,friction_cover_ratio,0.0803223921981274,0.2675844615794908,259188
body_position_ratio,breakout_cum_delta_eff,-0.1529249105991846,-0.18676784874990068,259201
lower_wick_to_body_ratio,upper_wick_to_body_ratio,0.34861367435911084,0.17202654743141263,259201
lower_wick_to_body_ratio,breakout_cum_delta_eff,-0.040418232253053604,-0.11434708880130223,259201
upper_wick_to_body_ratio,breakout_cum_delta_eff,0.03588369414844284,0.11245029864106786,259201
lower_wick_to_body_ratio,volume_z_score,0.023896061041180666,0.07594508720293958,259182
upper_wick_to_body_ratio,volume_z_score,0.01369419216171594,0.07179883630088654,259182
volume_z_score,friction_cover_ratio,-0.022491583159325933,-0.017550150485609324,259182
breakout_cum_delta_eff,friction_cover_ratio,0.006250084205243183,0.006943683812142312,259188
volume_z_score,breakout_cum_delta_eff,0.00713178954841382,0.006273918489880523,259182
body_position_ratio,volume_z_score,0.010909341328027839,0.005590722627437553,259182
body_position_ratio,friction_cover_ratio,-0.0017667086842027074,-0.00237761858700905,259188
