factor_a,factor_b,pearson,spearman,pearson_is,spearman_is,pearson_oos,spearman_oos,sample_count,is_sample_count,oos_sample_count
open_interest_delta_5m,open_interest_delta_15m,1.0,0.9999999999999999,0.9999999999999999,1.0,1.0,0.9999999999999999,177639,84498,93141
open_interest_delta_5m,open_interest_delta_ratio_15m,0.8761227306859936,0.9931647302301201,0.41209958078001174,0.984442214749899,0.9993873148417252,0.9993443584263628,177482,84455,93027
open_interest_delta_15m,open_interest_delta_ratio_15m,0.8761227306859936,0.9931647302301201,0.41209958078001174,0.984442214749899,0.9993873148417252,0.9993443584263628,177482,84455,93027
funding_rate,funding_rate_zscore_30d,0.6232703143794144,0.6197900984449424,0.6466695199498294,0.6535843206689718,0.6096072502825454,0.5926054630405172,174729,81588,93141
funding_rate,open_interest,-0.2941777751813181,-0.2374338457979969,-0.3496627145473631,-0.3858143014772522,-0.1045115866822528,-0.07217684967636741,177608,84467,93141
open_interest,open_interest_zscore_30d,0.19457588889189215,0.19909384229662386,0.10006033742613893,0.07141027041525796,0.6098746332561088,0.564837361028237,174761,81620,93141
funding_rate_zscore_30d,open_interest_zscore_30d,0.13784130220128565,0.14527822609901841,0.14240045500196588,0.12662248516436717,0.1358095418512598,0.1551267046279222,174729,81588,93141
funding_rate_zscore_30d,open_interest,0.04689726734829646,0.09554324037462426,0.050637278096153836,0.13021760850962127,0.07886148827211609,0.10568451540171812,174729,81588,93141
funding_rate,open_interest_zscore_30d,0.057865574072401865,0.08440923590471543,0.1447459127412195,0.14675038154349396,-0.040786170698134804,0.019016777278471172,174761,81620,93141
funding_rate_change,funding_rate_zscore_30d,0.074891941423354,0.06096092197691235,0.07869134814880312,0.05932968771207381,0.07614459006971312,0.06278502902641432,174729,81588,93141
funding_rate,funding_rate_change,0.05419901932320487,0.041485681985411575,0.05538728099596541,0.04481666590820485,0.05162364634067967,0.03913846324158734,177607,84466,93141
open_interest_delta_5m,open_interest_zscore_30d,0.13287050820037258,0.03597847284369229,0.07578669766196218,0.03749269862261344,0.17354986564134098,0.030639598602568346,174761,81620,93141
open_interest_delta_15m,open_interest_zscore_30d,0.13287050820037258,0.03597847284369229,0.07578669766196218,0.03749269862261344,0.17354986564134098,0.030639598602568346,174761,81620,93141
open_interest_delta_ratio_15m,open_interest_zscore_30d,0.15940647995670093,0.03300732600398278,0.02399829705237033,0.03431172926667148,0.24471892490596353,0.028093193756418163,174604,81577,93027
open_interest,open_interest_delta_5m,0.06303050515023827,0.02735137848144538,0.012544873338325494,0.032933296103827274,0.23289492076053223,0.008033123019582799,177639,84498,93141
open_interest,open_interest_delta_15m,0.06303050515023827,0.02735137848144538,0.012544873338325494,0.032933296103827274,0.23289492076053223,0.008033123019582799,177639,84498,93141
open_interest,open_interest_delta_ratio_15m,0.0741551932703178,0.009235105475804584,-0.0022808754694739995,-0.0023453153560535032,0.3320582487989023,0.00471222788678445,177482,84455,93027
funding_rate,open_interest_delta_ratio_15m,-0.001859477710519325,0.008910682525740966,-0.005579938144413339,-0.004758823111847439,-0.0014197477880364218,0.016972180054308925,177451,84424,93027
funding_rate_zscore_30d,open_interest_delta_5m,0.00044447470473547347,0.008688941812480415,0.000546465791040769,0.002298589797802218,0.0005132145073212153,0.01405449047706838,174729,81588,93141
funding_rate_zscore_30d,open_interest_delta_15m,0.00044447470473547347,0.008688941812480415,0.000546465791040769,0.002298589797802218,0.0005132145073212153,0.01405449047706838,174729,81588,93141
funding_rate_zscore_30d,open_interest_delta_ratio_15m,0.0065976024632803006,0.006734576252027256,-0.003049194404194905,-0.0022414299982580132,0.0126735753698665,0.013391994023890037,174572,81545,93027
funding_rate,open_interest_delta_5m,8.411473193508854e-05,0.004172531402753746,0.0007635009864458989,-0.01888407243097738,-0.00010114962956549567,0.017269988255114086,177608,84467,93141
funding_rate,open_interest_delta_15m,8.411473193508854e-05,0.004172531402753746,0.0007635009864458989,-0.01888407243097738,-0.00010114962956549567,0.017269988255114086,177608,84467,93141
funding_rate_change,open_interest,0.0007238669702091906,0.001451779723057585,0.0008685177704429909,0.002254949834154029,0.00018086674534701546,0.0006626495029051422,177607,84466,93141
funding_rate_change,open_interest_delta_ratio_15m,2.341966462382956e-05,0.0006999818522505542,0.0010549238119578863,-0.0009783264828146854,-0.001077473823297999,0.0027445327851658924,177450,84423,93027
funding_rate_change,open_interest_delta_5m,0.00011043422657123869,0.000614308110374125,0.0014363985267631294,-0.001028112798029703,-0.0002910571449501174,0.0026457473186696366,177607,84466,93141
funding_rate_change,open_interest_delta_15m,0.00011043422657123869,0.000614308110374125,0.0014363985267631294,-0.001028112798029703,-0.0002910571449501174,0.0026457473186696366,177607,84466,93141
funding_rate_change,open_interest_zscore_30d,7.042375758873818e-05,0.0004961818616283375,-0.00040187458550198634,0.0006496171346135768,0.0007912122381251638,0.0005599090770490096,174761,81620,93141
