factor,horizon,rank_ic,oriented_rank_ic,oos_rank_ic,oos_oriented_rank_ic
funding_rate,1,0.010018932911016151,0.010018932911016151,nan,nan
funding_rate_change,1,0.011184711311722705,0.011184711311722705,nan,nan
funding_rate_zscore_30d,1,-0.0018929772269015268,-0.0018929772269015268,nan,nan
open_interest,1,-0.005748736892761096,-0.005748736892761096,nan,nan
open_interest_delta_5m,1,0.002054441364651873,0.002054441364651873,nan,nan
open_interest_delta_15m,1,0.0008484953031696011,0.0008484953031696011,nan,nan
open_interest_delta_ratio_15m,1,-0.0011870279461670527,-0.0011870279461670527,nan,nan
open_interest_zscore_30d,1,-0.0008614148233725967,-0.0008614148233725967,nan,nan
long_liquidation_volume_1m,1,-0.002093936394726289,0.002093936394726289,nan,nan
short_liquidation_volume_1m,1,-0.0021049563934567015,-0.0021049563934567015,nan,nan
liq_imbalance_1m,1,-0.0020642886453735194,-0.0020642886453735194,nan,nan
