factor,horizon,period,ic,rank_ic,spread_qhigh_qlow,sample_count,split
funding_rate,1,2021,-0.007768340817158356,-0.01132237773464834,-0.00013506526207249383,26367,train
funding_rate,1,2022,-0.023424394435409748,-0.007797635627803564,-0.00015190394949662184,35040,train
funding_rate,1,2023,-0.01246046093457987,-0.004006460288976135,-5.770967494133107e-05,35040,mixed
funding_rate,1,2024,-0.00286593622909586,0.0028577565705406784,-3.0627771018323266e-05,35136,test
funding_rate,1,2025,-0.0027441216266334027,-0.0028610050613983315,1.2578660564361576e-06,35040,test
funding_rate,1,2026,-0.016249889484874443,-0.011449602464162935,-8.421029884269696e-05,10983,test
funding_rate,3,2021,-0.013582045464805367,-0.020568675307882332,-0.00040471242453655955,26367,train
funding_rate,3,2022,-0.03865977983013445,-0.013575846631556216,-0.0004735010782209758,35040,train
funding_rate,3,2023,-0.02106886426711611,-0.004416329590695065,-0.0001777564514401298,35040,mixed
funding_rate,3,2024,-0.006168352437020354,0.0037867868545878613,-9.37621287636012e-05,35136,test
funding_rate,3,2025,-0.005938720949758034,-0.004737902480750615,-9.79851897185667e-06,35040,test
funding_rate,3,2026,-0.028157294446985528,-0.017607274356028425,-0.000265325201108974,10981,test
funding_rate,6,2021,-0.0201910237226406,-0.026226536422733045,-0.0008231780471720825,26367,train
funding_rate,6,2022,-0.049804576751570594,-0.018395344599744116,-0.0008956101100879015,35040,train
funding_rate,6,2023,-0.028595467694766338,-0.006626325322229561,-0.00034888538931152746,35040,mixed
funding_rate,6,2024,-0.009739850938437671,0.0036540629506308826,-0.00018004427109812965,35136,test
funding_rate,6,2025,-0.00855863408684678,-0.007629836385664757,-3.616765926239032e-05,35040,test
funding_rate,6,2026,-0.03660420158702896,-0.014361634767827645,-0.0005287479860820101,10978,test
funding_rate,12,2021,-0.03338026906473288,-0.03251313255212204,-0.0016888582782502663,26367,train
funding_rate,12,2022,-0.06413061567344286,-0.032698471694633593,-0.0015130753562930658,35040,train
funding_rate,12,2023,-0.0399010018462613,-0.010444536895859908,-0.000678923074920483,35040,mixed
funding_rate,12,2024,-0.015004269240708626,-0.002919172738599334,-0.00040759945737706187,35136,test
funding_rate,12,2025,-0.015012715532596112,-0.010264389595589419,-8.972749700002659e-05,35040,test
funding_rate,12,2026,-0.05591067508867067,-0.03480276435977657,-0.0012548374363898695,10972,test
