factor,requires_ticks,side,group,orientation,directional,best_horizon,best_rank_ic,oriented_rank_ic,abs_rank_ic,ic_ir,ic_t_stat,raw_ic_ir,raw_ic_t_stat,oriented_ic_ir,oriented_ic_t_stat,avg_abs_rank_ic,sample_count,oos_best_horizon,oos_best_rank_ic,oos_oriented_rank_ic,oos_abs_rank_ic,oos_ic_ir,oos_ic_t_stat,oos_raw_ic_ir,oos_raw_ic_t_stat,oos_oriented_ic_ir,oos_oriented_ic_t_stat,oos_sample_count,rank_score
long_liquidation_volume_1m,False,Short,Crypto Derivatives & Alternative Factors,-1,True,1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.0
short_liquidation_volume_1m,False,Long,Crypto Derivatives & Alternative Factors,1,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
funding_rate,False,Long/Short,Crypto Derivatives & Alternative Factors,0,False,1,-0.004957465756936125,-0.004957465756936125,0.004957465756936125,-0.5014326749998091,-2.7002975945562855,-0.5014326749998091,-2.7002975945562855,-0.5014326749998091,-2.7002975945562855,0.008389742910212482,177606,6,0.005178716647007482,0.005178716647007482,0.005178716647007482,-0.28387548172310606,-1.630740488574544,-0.28387548172310606,-1.630740488574544,-0.28387548172310606,-1.630740488574544,93139,-1000000000.0
funding_rate_change,False,Long/Short,Crypto Derivatives & Alternative Factors,0,False,1,0.004241895672455305,0.004241895672455305,0.004241895672455305,0.1404015547954777,0.7560855117515731,0.1404015547954777,0.7560855117515731,0.1404015547954777,0.7560855117515731,0.0018277426102373533,177605,1,0.0049258945720706115,0.0049258945720706115,0.0049258945720706115,0.32101088129780686,1.8440671178356343,0.32101088129780686,1.8440671178356343,0.32101088129780686,1.8440671178356343,93139,-1000000000.0
funding_rate_zscore_30d,False,Long/Short,Crypto Derivatives & Alternative Factors,0,False,1,-0.0024686305363625983,-0.0024686305363625983,0.0024686305363625983,-0.3845137998502531,-2.0346557801524696,-0.3845137998502531,-2.0346557801524696,-0.3845137998502531,-2.0346557801524696,0.007750911700008975,174727,1,-0.0010169971058712703,-0.0010169971058712703,0.0010169971058712703,-0.27188570931193534,-1.5618644898408405,-0.27188570931193534,-1.5618644898408405,-0.27188570931193534,-1.5618644898408405,93139,-1000000000.0
open_interest,False,Long/Short,Crypto Derivatives & Alternative Factors,0,False,1,0.0006910331563485225,0.0006910331563485225,0.0006910331563485225,-0.05706398431156773,-0.30729896006952995,-0.05706398431156773,-0.30729896006952995,-0.05706398431156773,-0.30729896006952995,0.0052571784232008315,177638,1,-0.004620692243333846,-0.004620692243333846,0.004620692243333846,-0.77769920183862,-4.467541785124575,-0.77769920183862,-4.467541785124575,-0.77769920183862,-4.467541785124575,93139,-1000000000.0
open_interest_delta_5m,False,Long/Short,Crypto Derivatives & Alternative Factors,0,False,1,0.0003969737805272526,0.0003969737805272526,0.0003969737805272526,0.07205044339672827,0.38800351211849765,0.07205044339672827,0.38800351211849765,0.07205044339672827,0.38800351211849765,0.002886002349980098,177637,1,-0.0011138229071736693,-0.0011138229071736693,0.0011138229071736693,-0.20696728994225203,-1.1889365628574668,-0.20696728994225203,-1.1889365628574668,-0.20696728994225203,-1.1889365628574668,93139,-1000000000.0
open_interest_delta_15m,False,Long/Short,Crypto Derivatives & Alternative Factors,0,False,1,0.0003969737805272526,0.0003969737805272526,0.0003969737805272526,0.07205044339672827,0.38800351211849765,0.07205044339672827,0.38800351211849765,0.07205044339672827,0.38800351211849765,0.002886002349980098,177637,1,-0.0011138229071736693,-0.0011138229071736693,0.0011138229071736693,-0.20696728994225203,-1.1889365628574668,-0.20696728994225203,-1.1889365628574668,-0.20696728994225203,-1.1889365628574668,93139,-1000000000.0
open_interest_delta_ratio_15m,False,Long/Short,Crypto Derivatives & Alternative Factors,0,False,1,0.0005816348460493503,0.0005816348460493503,0.0005816348460493503,0.08102076884263194,0.43631019301832125,0.08102076884263194,0.43631019301832125,0.08102076884263194,0.43631019301832125,0.003211200835254258,177480,1,-0.0009756207361803201,-0.0009756207361803201,0.0009756207361803201,-0.2024259759720425,-1.162848700258,-0.2024259759720425,-1.162848700258,-0.2024259759720425,-1.162848700258,93025,-1000000000.0
open_interest_zscore_30d,False,Long/Short,Crypto Derivatives & Alternative Factors,0,False,1,-0.003642602689144353,-0.003642602689144353,0.003642602689144353,-0.0033522979023992805,-0.01773869314070395,-0.0033522979023992805,-0.01773869314070395,-0.0033522979023992805,-0.01773869314070395,0.009611161691333962,174759,1,-0.005346799966258756,-0.005346799966258756,0.005346799966258756,-0.6269388606423928,-3.6014895605094,-0.6269388606423928,-3.6014895605094,-0.6269388606423928,-3.6014895605094,93139,-1000000000.0
liq_imbalance_1m,False,Long/Short,Crypto Derivatives & Alternative Factors,0,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1000000000.0
