factor_a,factor_b,pearson,spearman,pearson_is,spearman_is,pearson_oos,spearman_oos,sample_count,is_sample_count,oos_sample_count
zscore_price_20,bollinger_position_20,1.0,1.0,1.0,0.9999999999999999,0.9999999999999998,1.0,186262,93121,93141
lower_wick_ratio,reversal_bar_up,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,7185,3695,3490
upper_wick_ratio,reversal_bar_down,0.9999999999999999,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,6349,3256,3093
zscore_price_20,distance_to_vwap,0.7492054050435486,0.9143939208129028,0.7528217669426843,0.9141148603846875,0.7809407505238356,0.9184459869681635,186262,93121,93141
bollinger_position_20,distance_to_vwap,0.749205405043549,0.9143939208129028,0.7528217669426841,0.9141148603846875,0.7809407505238356,0.9184459869681635,186262,93121,93141
lower_wick_to_body_ratio,lower_wick_ratio,0.0806394547694008,0.9119162539339479,0.06630806435693393,0.9036660176706284,0.1461980526950163,0.9196095107864962,186135,93048,93087
upper_wick_to_body_ratio,upper_wick_ratio,0.09247632698456917,0.9105463776367282,0.0770131821778619,0.9014738640446628,0.14785362590905485,0.918930278828418,186135,93048,93087
zscore_price_20,rsi_14,0.8681361006719504,0.9008610840827879,0.8614603623067381,0.8960019507555512,0.8751786234094094,0.905821967069244,186262,93121,93141
bollinger_position_20,rsi_14,0.8681361006719509,0.9008610840827879,0.8614603623067378,0.8960019507555512,0.8751786234094094,0.905821967069244,186262,93121,93141
zscore_price_20,stoch_k,0.8723730628496303,0.8863772685302783,0.8616093850906726,0.8759850982539145,0.8831850477116219,0.8962424004947593,186262,93121,93141
bollinger_position_20,stoch_k,0.8723730628496301,0.8863772685302783,0.8616093850906721,0.8759850982539145,0.8831850477116219,0.8962424004947593,186262,93121,93141
stoch_k,distance_to_vwap,0.7202032575601329,0.8672995871352295,0.7284334304817324,0.8631235598215374,0.7541656953813782,0.8785970269666288,186262,93121,93141
rsi_14,distance_to_vwap,0.774558784476959,0.8564198550348706,0.7745714854201019,0.8546053692512927,0.8074455027888124,0.8619856055137153,186262,93121,93141
lower_wick_to_body_ratio,body_ratio,-0.08099549736373947,-0.8187028138153373,-0.06743680242754944,-0.8225183662516278,-0.14500114245019666,-0.8138217810942288,186135,93048,93087
upper_wick_to_body_ratio,body_ratio,-0.0981058769093948,-0.8110947381600903,-0.08346954447700583,-0.8172056089451754,-0.15341543728047985,-0.8034125483330137,186135,93048,93087
zscore_return_20,close_position_in_bar,0.7153634304272728,0.7661698353865475,0.7020303226130523,0.7567386884887294,0.7284251211542804,0.7748405404495707,186255,93114,93141
rsi_14,stoch_k,0.7398150959030828,0.761134116780057,0.7230752825338901,0.7435292043993077,0.7575165221866743,0.7783831523290227,186268,93127,93141
lower_wick_to_body_ratio,reversal_bar_up,0.08593671387956338,0.6539632549673823,0.08081670991699398,0.6454637672884166,0.18957179181164324,0.6628138638881027,7179,3690,3489
upper_wick_to_body_ratio,reversal_bar_down,0.11341969023117437,0.6500850985780878,0.10334742042785007,0.6492856819657578,0.12333697760564394,0.6503623402576385,6342,3251,3091
lower_wick_ratio,body_ratio,-0.6076357920848772,-0.5970689545264817,-0.5975132733298425,-0.58616914450023,-0.6161877855181329,-0.605933263000217,186275,93134,93141
upper_wick_ratio,body_ratio,-0.5948357727977853,-0.5836573472910201,-0.5846446087640549,-0.572626434500449,-0.6030068861230462,-0.5918118477040474,186275,93134,93141
body_ratio,reversal_bar_up,-0.5614920128781139,-0.5405283006184981,-0.5528011641225711,-0.5302788460938488,-0.570673987266244,-0.551645811643649,7185,3695,3490
body_ratio,reversal_bar_down,-0.5555493740288088,-0.5337735102745279,-0.557382624861787,-0.5347294317892709,-0.5534750545363871,-0.5321461220344772,6349,3256,3093
lower_wick_to_body_ratio,upper_wick_to_body_ratio,0.6139526510700042,0.4330730975606119,0.6159040587626708,0.44362969524024654,0.6090739508783555,0.4190970600612987,186135,93048,93087
zscore_return_20,reversal_bar_down,0.31128631492816045,0.40190650872407047,0.2975340728653803,0.3893748789637254,0.32654802728709625,0.41530151643416363,6349,3256,3093
upper_wick_ratio,close_position_in_bar,-0.4069210880064123,-0.3766025378356431,-0.4145756312487319,-0.382439801718019,-0.4003044177000128,-0.3721633970155581,186275,93134,93141
zscore_return_20,reversal_bar_up,-0.2992577583800606,-0.3742111801721447,-0.30113326021646214,-0.3776417234911144,-0.29754893604038685,-0.3713321981200386,7185,3695,3490
lower_wick_ratio,close_position_in_bar,0.39927358130186386,0.36556425626573064,0.4078297291649854,0.37374448067048904,0.3923246993739424,0.3595363133830529,186275,93134,93141
zscore_return_20,stoch_k,0.36437146095948725,0.33003155985911525,0.3649510287421224,0.3232145391962242,0.36413123766303773,0.3369627826130724,186261,93120,93141
stoch_k,close_position_in_bar,0.32825597734586276,0.31930121299657616,0.2984942270265074,0.2883736612727563,0.3546148471971495,0.3476569113304605,186262,93121,93141
lower_wick_ratio,reversal_bar_down,-0.34554007867037295,-0.30862783627700957,-0.34480312650641975,-0.31065028553651863,-0.34648130850073416,-0.30722986398139723,6349,3256,3093
upper_wick_ratio,reversal_bar_up,-0.32161813972889614,-0.2852202846283691,-0.3306738714095465,-0.29686977208400644,-0.3120212230449941,-0.2733683596793846,7185,3695,3490
zscore_price_20,zscore_return_20,0.34597462858952144,0.25128703600600044,0.3487254662250968,0.24212773210904814,0.34328080723765986,0.26009529117520036,186261,93120,93141
zscore_return_20,bollinger_position_20,0.3459746285895217,0.25128703600600044,0.3487254662250969,0.24212773210904814,0.34328080723766,0.26009529117520036,186261,93120,93141
zscore_price_20,close_position_in_bar,0.2578494034891117,0.24100626692458385,0.22786131975093857,0.20982004653836592,0.286186582260759,0.27032599213683167,186256,93115,93141
bollinger_position_20,close_position_in_bar,0.2578494034891117,0.24100626692458385,0.22786131975093865,0.20982004653836592,0.2861865822607591,0.27032599213683167,186256,93115,93141
upper_wick_to_body_ratio,close_position_in_bar,-0.023309360981126473,-0.23307475819613305,-0.019585360346342506,-0.2284676456819965,-0.03716006162207748,-0.23841350382560672,186135,93048,93087
upper_wick_ratio,lower_wick_ratio,-0.2769846854410875,-0.22559456750269874,-0.301206903760111,-0.25481548423078243,-0.25673079988502173,-0.20194714369385594,186275,93134,93141
lower_wick_to_body_ratio,close_position_in_bar,0.022382152276027856,0.2209223771915527,0.01908972268307286,0.22094094214592838,0.039382042334581105,0.22277883931729375,186135,93048,93087
body_ratio,range_zscore_20,0.19984055796390837,0.20000853724257403,0.19974136403973577,0.1981245684879014,0.20112740762114814,0.20336371715807625,186256,93115,93141
distance_to_vwap,close_position_in_bar,0.18313515115460555,0.1994167052238197,0.16646547040490053,0.17103901276262826,0.21811336297441294,0.23175705493888973,186256,93115,93141
rsi_14,close_position_in_bar,0.18855977495682907,0.18693849419852798,0.15786905639165816,0.15770041917778993,0.2186700147677503,0.2148880827902477,186262,93121,93141
zscore_return_20,distance_to_vwap,0.21196242690039807,0.18246964303603666,0.21086304383110968,0.17103555824646524,0.22411008158310353,0.19592917920840022,186261,93120,93141
upper_wick_to_body_ratio,range_zscore_20,-0.020877136581572742,-0.16670312580304655,-0.0196460855539974,-0.17035161391405315,-0.028738101810481014,-0.16439455877704265,186116,93029,93087
zscore_price_20,reversal_bar_down,0.1473376796215191,0.16272890453562688,0.170267317817372,0.18480851318498057,0.12361461440846108,0.13964432407832547,6349,3256,3093
bollinger_position_20,reversal_bar_down,0.14733767962151892,0.16272890453562688,0.17026731781737192,0.18480851318498057,0.12361461440846074,0.13964432407832547,6349,3256,3093
zscore_return_20,rsi_14,0.2151880231010527,0.15411201246002618,0.21233740962135236,0.14505192976124687,0.21819549228945345,0.1629639810950973,186261,93120,93141
lower_wick_to_body_ratio,range_zscore_20,-0.01537856994828876,-0.15341601708309416,-0.013098681052055259,-0.15401520731875804,-0.0269631180746041,-0.15391336731248417,186116,93029,93087
rsi_14,reversal_bar_down,0.1367159336317615,0.1506339930268052,0.16615331391241028,0.17551845023158125,0.10509501507535667,0.12380587033803657,6349,3256,3093
close_position_in_bar,reversal_bar_up,0.18679252792273432,0.137930898979048,0.1911647003132656,0.14619302422884506,0.1820041695246639,0.1293800583887492,7185,3695,3490
close_position_in_bar,reversal_bar_down,-0.1909244344108772,-0.12952847519620414,-0.19559832910135122,-0.13603606059176054,-0.18668533661397174,-0.12363818209166753,6349,3256,3093
distance_to_vwap,reversal_bar_down,0.10149562256397306,0.12780723355788393,0.12170578213627117,0.14472955563044415,0.07399584246921304,0.10592889144471296,6349,3256,3093
zscore_price_20,reversal_bar_up,-0.11854898160001859,-0.1252933282891606,-0.13587359623989193,-0.14155645351621246,-0.1035366198482876,-0.1099698806497675,7185,3695,3490
bollinger_position_20,reversal_bar_up,-0.11854898160001866,-0.1252933282891606,-0.13587359623989187,-0.14155645351621246,-0.10353661984828796,-0.1099698806497675,7185,3695,3490
upper_wick_ratio,range_zscore_20,-0.1315975274497677,-0.12428769251295486,-0.13104668263985061,-0.12459549945808711,-0.13262426687384768,-0.12470074670029692,186256,93115,93141
stoch_k,reversal_bar_down,0.11473119221584892,0.11906257556946823,0.13802779851863622,0.13814457377476297,0.09092286918347692,0.09869916649836057,6349,3256,3093
rsi_14,reversal_bar_up,-0.11396391716144078,-0.11758525720273914,-0.13124593727870387,-0.1316152064310046,-0.0984881344936561,-0.10507189019827783,7185,3695,3490
upper_wick_to_body_ratio,lower_wick_ratio,0.02589335553724531,0.11207501546531062,0.021962886470254663,0.10413233056143291,0.03991660736280271,0.11555223864172806,186135,93048,93087
lower_wick_to_body_ratio,upper_wick_ratio,0.01637284878085357,0.10869075000414403,0.013106572777476058,0.09818841343686216,0.02985018144820193,0.11450112370362212,186135,93048,93087
zscore_price_20,lower_wick_ratio,-0.10089767769858564,-0.1066281364739602,-0.12692232117153676,-0.13283297066777183,-0.07428004265388356,-0.0800276647160291,186256,93115,93141
bollinger_position_20,lower_wick_ratio,-0.10089767769858568,-0.1066281364739602,-0.12692232117153662,-0.13283297066777183,-0.07428004265388358,-0.0800276647160291,186256,93115,93141
rsi_14,lower_wick_ratio,-0.09858467182897997,-0.10475217929857804,-0.12516786265631874,-0.13088674605456369,-0.07050856580539423,-0.07751820935382672,186262,93121,93141
lower_wick_ratio,range_zscore_20,-0.1088613189059275,-0.10367476061578468,-0.1052518626017439,-0.10045008774284848,-0.11273333128526433,-0.10733893180623191,186256,93115,93141
rsi_14,upper_wick_ratio,0.09083913460251827,0.09602032218851125,0.11869941653443472,0.12410999969979059,0.06373392952185186,0.07027691401660979,186262,93121,93141
zscore_price_20,upper_wick_ratio,0.09137551174973094,0.09529998550671585,0.11842319042635265,0.12279534110898187,0.06588528273549242,0.07027072526189647,186256,93115,93141
bollinger_position_20,upper_wick_ratio,0.09137551174973094,0.09529998550671585,0.11842319042635248,0.12279534110898187,0.06588528273549246,0.07027072526189647,186256,93115,93141
distance_to_vwap,reversal_bar_up,-0.07875786734666228,-0.09114449008218775,-0.08201105426214483,-0.09087844961196395,-0.08123717551741683,-0.09471568688081765,7185,3695,3490
distance_to_vwap,lower_wick_ratio,-0.06803560342650221,-0.09041053477930357,-0.08415095551638821,-0.11368294269938853,-0.04763226355980897,-0.06434966098044145,186256,93115,93141
stoch_k,reversal_bar_up,-0.08636397346761986,-0.08447372055862466,-0.0966335817505078,-0.09599183069077662,-0.07822161248204813,-0.0742592756182707,7185,3695,3490
