factor,horizon,ic,rank_ic,oriented_rank_ic,abs_rank_ic,ic_period_mean,ic_period_std,ic_ir,ic_t_stat,oriented_ic_period_mean,oriented_ic_period_std,oriented_ic_ir,oriented_ic_t_stat,ic_periods,sample_count,oos_ic,oos_rank_ic,oos_oriented_rank_ic,oos_abs_rank_ic,oos_ic_period_mean,oos_ic_ir,oos_ic_t_stat,oos_oriented_ic_period_mean,oos_oriented_ic_period_std,oos_oriented_ic_ir,oos_oriented_ic_t_stat,oos_ic_periods,oos_sample_count
lower_wick_to_body_ratio,1,-0.002199528856225459,0.004532299091406175,0.004532299091406175,0.004532299091406175,0.002079415734469849,0.020108063042099777,0.10341203576476884,0.5849868139645907,0.002079415734469849,0.020108063042099777,0.10341203576476884,0.5849868139645907,32,186133,0.0042023403228519125,0.006374776750711821,0.006374776750711821,0.006374776750711821,0.005451427876120329,0.30038109760970577,1.7255580330548093,0.005451427876120329,0.018148371916542946,0.30038109760970577,1.7255580330548093,33,93085
lower_wick_to_body_ratio,3,-0.001790000543382951,0.0004948376419896184,0.0004948376419896184,0.0004948376419896184,0.00045467302752357457,0.015412147361166808,0.0295009525193868,0.1668825886233662,0.00045467302752357457,0.015412147361166808,0.0295009525193868,0.1668825886233662,32,186131,-0.0001308535823391352,0.0008163741199127792,0.0008163741199127792,0.0008163741199127792,-0.0021148389171154144,-0.08894360459630375,-0.5109421086123747,-0.0021148389171154144,0.02377730165889073,-0.08894360459630375,-0.5109421086123747,33,93083
lower_wick_to_body_ratio,6,0.0004439567184818171,-0.001606899650743494,-0.001606899650743494,0.001606899650743494,-0.00286031250835173,0.0168746453020915,-0.1695035633132516,-0.958856952432668,-0.00286031250835173,0.0168746453020915,-0.1695035633132516,-0.958856952432668,32,186128,0.0036816584633675258,0.0008672989757445727,0.0008672989757445727,0.0008672989757445727,-0.0031517039772139457,-0.10980924093902274,-0.6308060637430045,-0.0031517039772139457,0.028701627934611555,-0.10980924093902274,-0.6308060637430045,33,93080
lower_wick_to_body_ratio,12,0.0034802689436506918,-0.0030905981511724664,-0.0030905981511724664,0.0030905981511724664,-0.003970924668021821,0.021184529563120082,-0.18744455269541413,-1.0603465144592519,-0.003970924668021821,0.021184529563120082,-0.18744455269541413,-1.0603465144592519,32,186122,0.004479224690999579,2.7190349388479905e-05,2.7190349388479905e-05,2.7190349388479905e-05,-0.0031466352594059443,-0.11405009878973611,-0.6551679373414901,-0.0031466352594059443,0.027589938919799727,-0.11405009878973611,-0.6551679373414901,33,93074
upper_wick_to_body_ratio,1,-0.0031683762740348084,0.0029522906954403023,-0.0029522906954403023,0.0029522906954403023,0.0051189184903124695,0.02785419754990001,0.18377547876373287,1.039591097997119,-0.0051189184903124695,0.02785419754990001,-0.18377547876373287,-1.039591097997119,32,186133,0.005266517219752223,-0.0013211209648628993,0.0013211209648628993,0.0013211209648628993,-0.0022050776243427695,-0.12348066098955898,-0.7093423926904461,0.0022050776243427695,0.01785767590383422,0.12348066098955898,0.7093423926904461,33,93085
upper_wick_to_body_ratio,3,-0.0036281820339476435,-0.0020200031832597934,0.0020200031832597934,0.0020200031832597934,-0.0027119325600734063,0.02245489903622122,-0.12077242278840274,-0.6831919930720665,0.0027119325600734063,0.02245489903622122,0.12077242278840274,0.6831919930720665,32,186131,0.002559075048606321,-0.003121123862974849,0.003121123862974849,0.003121123862974849,-0.003620885837768534,-0.20566135253294401,-1.1814345235972394,0.003620885837768534,0.01760605866475822,0.20566135253294401,1.1814345235972394,33,93083
upper_wick_to_body_ratio,6,-0.0007806549772964009,-0.00776277622073373,0.00776277622073373,0.00776277622073373,-0.008545777467043854,0.019753750342114382,-0.4326154436013359,-2.447242510532248,0.008545777467043854,0.019753750342114382,0.4326154436013359,2.447242510532248,32,186128,0.00659813904569578,-0.007193411651333653,0.007193411651333653,0.007193411651333653,-0.007509446226730919,-0.44199664027340474,-2.539077389609907,0.007509446226730919,0.016989826488467922,0.44199664027340474,2.539077389609907,33,93080
upper_wick_to_body_ratio,12,0.0014490461134096387,-0.004971619727752101,0.004971619727752101,0.004971619727752101,-0.004050797818646846,0.018893861352577004,-0.2143975624175067,-1.2128157620422808,0.004050797818646846,0.018893861352577004,0.2143975624175067,1.2128157620422808,32,186122,0.00686784895512517,-0.005731588363199303,0.005731588363199303,0.005731588363199303,-0.0063009624606499256,-0.3616936886711438,-2.0777720534288076,0.0063009624606499256,0.017420714427723496,0.3616936886711438,2.0777720534288076,33,93074
zscore_price_20,1,-0.005111605922692616,-0.03888368648719384,-0.03888368648719384,0.03888368648719384,-0.04585804118718128,0.015003507226914915,-3.056488092658506,-17.29010765547813,-0.04585804118718128,0.015003507226914915,-3.056488092658506,-17.29010765547813,32,186260,8.181274781897723e-05,-0.029556771310902966,-0.029556771310902966,0.029556771310902966,-0.03145512130789119,-1.6860558777114822,-9.685653615077271,-0.03145512130789119,0.018656037278305306,-1.6860558777114822,-9.685653615077271,33,93139
zscore_price_20,3,-0.002221005417440535,-0.04394575734062463,-0.04394575734062463,0.04394575734062463,-0.05502444102538462,0.024771383804823164,-2.2212905608717333,-12.565516948624579,-0.05502444102538462,0.024771383804823164,-2.2212905608717333,-12.565516948624579,32,186258,0.002921851035674307,-0.03284444392417928,-0.03284444392417928,0.03284444392417928,-0.0325091317983219,-1.123262622676355,-6.4526525044789285,-0.0325091317983219,0.028941701737447326,-1.123262622676355,-6.4526525044789285,33,93137
zscore_price_20,6,-0.003785005264530304,-0.04642971411504372,-0.04642971411504372,0.04642971411504372,-0.061124539988419865,0.030415308530383524,-2.009663651031493,-11.368374364387874,-0.061124539988419865,0.030415308530383524,-2.009663651031493,-11.368374364387874,32,186255,0.002572869658520046,-0.033527013001769135,-0.033527013001769135,0.033527013001769135,-0.032470952376064156,-0.7572323813519689,-4.349968852663561,-0.032470952376064156,0.04288109327560748,-0.7572323813519689,-4.349968852663561,33,93134
zscore_price_20,12,-0.0053560229866600265,-0.04289449632152281,-0.04289449632152281,0.04289449632152281,-0.059317944282821056,0.03465982025682815,-1.7114325418677017,-9.681324447183854,-0.059317944282821056,0.03465982025682815,-1.7114325418677017,-9.681324447183854,32,186249,0.002271640788672494,-0.030824027523002645,-0.030824027523002645,0.030824027523002645,-0.032276757546031806,-0.7004767629411329,-4.023932647159506,-0.032276757546031806,0.046078270192018204,-0.7004767629411329,-4.023932647159506,33,93128
