factor,horizon,rank_ic,oriented_rank_ic,oos_rank_ic,oos_oriented_rank_ic
lower_wick_to_body_ratio,1,-0.002907828149924586,-0.002907828149924586,-0.0063904482425333545,-0.0063904482425333545
upper_wick_to_body_ratio,1,-0.00881745416582139,0.00881745416582139,0.0035758279009193658,-0.0035758279009193658
zscore_price_20,1,0.04693486869027131,0.04693486869027131,0.029557991587958462,0.029557991587958462
zscore_return_20,1,-0.0237368383541449,-0.0237368383541449,-0.017629680102640887,-0.017629680102640887
bollinger_position_20,1,0.003089902516370391,0.003089902516370391,0.00365267471308669,0.00365267471308669
bollinger_width_20,1,0.0017441863358280778,0.0017441863358280778,0.00426433525980859,0.00426433525980859
rsi_14,1,0.0015598426426768756,0.0015598426426768756,-0.0034124096227748013,-0.0034124096227748013
stoch_k,1,-0.009636476634450506,-0.009636476634450506,-0.015135980031473647,-0.015135980031473647
distance_to_vwap,1,-0.000938925083552993,-0.000938925083552993,0.01606153975127548,0.01606153975127548
upper_wick_ratio,1,-0.01424019557232257,0.01424019557232257,-0.0003956974550852738,0.0003956974550852738
lower_wick_ratio,1,0.0031316246523722994,0.0031316246523722994,-0.003045509267470197,-0.003045509267470197
body_ratio,1,0.001242884147200628,0.001242884147200628,0.005720468013344627,0.005720468013344627
range_zscore_20,1,0.0015075371664971676,0.0015075371664971676,-0.00021405317612464158,-0.00021405317612464158
close_position_in_bar,1,-0.014610459479271766,-0.014610459479271766,-0.014767711592180176,-0.014767711592180176
reversal_bar_up,1,0.009085593596839978,0.009085593596839978,0.013295421573243281,0.013295421573243281
reversal_bar_down,1,0.009363235577871295,-0.009363235577871295,0.01510793204673886,-0.01510793204673886
