factor,horizon,period,ic,rank_ic,spread_qhigh_qlow,sample_count,split
lower_wick_to_body_ratio,1,2021,-0.009785503940681237,-0.008152637653293571,-0.00022487114582108895,35036,train
lower_wick_to_body_ratio,1,2022,0.0030235116638181988,0.012098032349530382,1.4199889600689355e-05,34992,train
lower_wick_to_body_ratio,1,2023,0.012032110688152416,0.010071293910534889,7.375389258929421e-06,34987,mixed
lower_wick_to_body_ratio,1,2024,0.005417683863868352,0.008946983939704986,3.469786557404177e-05,35115,test
lower_wick_to_body_ratio,1,2025,-6.620046984418536e-05,0.007939031031008934,-1.641964559594692e-05,35024,test
lower_wick_to_body_ratio,1,2026,0.004746163097846078,-0.015107664400239924,-7.026685979201664e-05,10979,test
lower_wick_to_body_ratio,3,2021,-0.005706134760414664,-0.007545065267832166,-0.00027489196810735804,35036,train
lower_wick_to_body_ratio,3,2022,0.0016705945063636277,0.002010650490695984,-7.671347309100473e-05,34992,train
lower_wick_to_body_ratio,3,2023,0.007608185920317587,0.009849511666650828,-1.7527809910937683e-05,34987,mixed
lower_wick_to_body_ratio,3,2024,0.0028696895534363917,0.007847743184059803,2.3924519225134327e-05,35115,test
lower_wick_to_body_ratio,3,2025,-0.002709294211354749,-0.009975761702025287,-0.0001225354394266625,35024,test
lower_wick_to_body_ratio,3,2026,-0.004902273051321621,0.004885384655679407,-2.22109460251075e-05,10977,test
lower_wick_to_body_ratio,6,2021,-0.0021688759305907414,-0.011593077352429428,-0.00044966254652692396,35036,train
lower_wick_to_body_ratio,6,2022,0.0016256091118666963,0.00035313001933772896,-0.0001757131695570418,34992,train
lower_wick_to_body_ratio,6,2023,0.006033115484611311,0.009088742441543675,-7.178692211660576e-05,34987,mixed
lower_wick_to_body_ratio,6,2024,0.003203993802503676,0.011233914520831861,-1.4493149403758623e-05,35115,test
lower_wick_to_body_ratio,6,2025,0.0021381264874649683,-0.015054755639261341,-0.0002751754174114727,35024,test
lower_wick_to_body_ratio,6,2026,0.007438699605040425,0.0022072401458560573,-0.0001400121536277634,10974,test
lower_wick_to_body_ratio,12,2021,0.005425364874960353,-0.013180718910241924,-0.00044256191800610544,35036,train
lower_wick_to_body_ratio,12,2022,0.0014499947821690542,0.004017860614265414,-0.00017712488624697765,34992,train
lower_wick_to_body_ratio,12,2023,0.0004532711867398641,0.004394156522751202,-0.00026041324238810896,34987,mixed
lower_wick_to_body_ratio,12,2024,0.002456843930930029,0.0025195865119036565,-0.00022941150814384707,35115,test
lower_wick_to_body_ratio,12,2025,0.0026718860313472035,-0.006538262676997609,-0.00019272563702092614,35024,test
lower_wick_to_body_ratio,12,2026,0.012944774579557625,-0.0032906720969113935,-0.00010480786502673527,10968,test
