factor_a,factor_b,pearson,spearman,pearson_is,spearman_is,pearson_oos,spearman_oos,sample_count,is_sample_count,oos_sample_count
delta_eff_long,delta_eff_short,-1.0,-1.0,-0.9999999999999998,-0.9999999999999999,-1.0,-1.0,186275,93134,93141
delta_eff_long,trade_volume_delta_ratio_1m,1.0,1.0,0.9999999999999998,0.9999999999999999,1.0,1.0,186275,93134,93141
delta_eff_long,taker_buy_ratio_1m,1.0,1.0,0.9999999999999998,0.9999999999999999,1.0,1.0,186275,93134,93141
delta_eff_short,trade_volume_delta_ratio_1m,-1.0,-1.0,-0.9999999999999998,-0.9999999999999999,-1.0,-1.0,186275,93134,93141
delta_eff_short,taker_buy_ratio_1m,-1.0,-1.0,-0.9999999999999998,-0.9999999999999999,-1.0,-1.0,186275,93134,93141
trade_volume_delta_ratio_1m,taker_buy_ratio_1m,1.0,1.0,0.9999999999999998,0.9999999999999999,1.0,1.0,186275,93134,93141
buy_trade_volume_1m,sell_trade_volume_1m,0.9589753482239721,0.9444088195250285,0.9589002281686457,0.944377418449104,0.949742830654267,0.9195976713019538,186281,93140,93141
delta_eff_long,trade_volume_delta_1m,0.5668831032932987,0.9033830467917081,0.6134002916445265,0.9220907036161337,0.5846788933497888,0.9103521151923119,186275,93134,93141
delta_eff_short,trade_volume_delta_1m,-0.5668831032932987,-0.9033830467917081,-0.6134002916445265,-0.9220907036161337,-0.5846788933497888,-0.9103521151923119,186275,93134,93141
trade_volume_delta_1m,trade_volume_delta_ratio_1m,0.5668831032932988,0.9033830467917081,0.6134002916445266,0.9220907036161337,0.5846788933497888,0.9103521151923117,186275,93134,93141
trade_volume_delta_1m,taker_buy_ratio_1m,0.5668831032932988,0.9033830467917081,0.6134002916445268,0.9220907036161337,0.584678893349789,0.9103521151923117,186275,93134,93141
delta_eff_long,buy_trade_volume_1m,0.09209878015764424,0.1712504329988325,0.09748384565828165,0.171849309843983,0.1007557952702404,0.19703046482195644,186275,93134,93141
delta_eff_short,buy_trade_volume_1m,-0.09209878015764424,-0.1712504329988325,-0.09748384565828165,-0.171849309843983,-0.1007557952702404,-0.19703046482195644,186275,93134,93141
buy_trade_volume_1m,trade_volume_delta_ratio_1m,0.09209878015764424,0.1712504329988325,0.09748384565828165,0.17184930984398297,0.1007557952702404,0.19703046482195646,186275,93134,93141
buy_trade_volume_1m,taker_buy_ratio_1m,0.09209878015764429,0.1712504329988325,0.09748384565828158,0.17184930984398297,0.10075579527024041,0.19703046482195646,186275,93134,93141
sell_trade_volume_1m,trade_volume_delta_1m,-0.17032171581736588,-0.1432210968268705,-0.17065950435262286,-0.1346093500107812,-0.18981231838540624,-0.18181790069107673,186281,93140,93141
delta_eff_long,sell_trade_volume_1m,-0.07042919665274086,-0.1317037458587904,-0.07852770141069992,-0.13156887228810837,-0.08478593234646394,-0.1685223309074517,186275,93134,93141
delta_eff_short,sell_trade_volume_1m,0.07042919665274086,0.1317037458587904,0.07852770141069992,0.13156887228810837,0.08478593234646394,0.1685223309074517,186275,93134,93141
sell_trade_volume_1m,trade_volume_delta_ratio_1m,-0.07042919665274086,-0.1317037458587904,-0.07852770141069992,-0.13156887228810837,-0.08478593234646394,-0.16852233090745167,186275,93134,93141
sell_trade_volume_1m,taker_buy_ratio_1m,-0.0704291966527408,-0.1317037458587904,-0.0785277014107,-0.13156887228810837,-0.08478593234646394,-0.16852233090745167,186275,93134,93141
buy_trade_volume_1m,trade_volume_delta_1m,0.11601294264394467,0.1271522222369382,0.11593552603120241,0.13638970533554048,0.12706756396887867,0.14257170703086583,186281,93140,93141
