factor,horizon,ic,rank_ic,oriented_rank_ic,abs_rank_ic,ic_period_mean,ic_period_std,ic_ir,ic_t_stat,oriented_ic_period_mean,oriented_ic_period_std,oriented_ic_ir,oriented_ic_t_stat,ic_periods,sample_count,oos_ic,oos_rank_ic,oos_oriented_rank_ic,oos_abs_rank_ic,oos_ic_period_mean,oos_ic_ir,oos_ic_t_stat,oos_oriented_ic_period_mean,oos_oriented_ic_period_std,oos_oriented_ic_ir,oos_oriented_ic_t_stat,oos_ic_periods,oos_sample_count
delta_eff_long,1,-0.006601814547064159,-0.0233213375829939,-0.0233213375829939,0.0233213375829939,-0.027246385425718746,0.01823856403530105,-1.4938887388822337,-8.450710860814777,-0.027246385425718746,0.01823856403530105,-1.4938887388822337,-8.450710860814777,32,186273,-0.006009938578376295,-0.020238093806624616,-0.020238093806624616,0.020238093806624616,-0.024176264290350555,-0.7917563529583302,-4.548293970363603,-0.024176264290350555,0.030534979858409726,-0.7917563529583302,-4.548293970363603,33,93139
delta_eff_long,3,-0.003429991524087714,-0.01762681882678462,-0.01762681882678462,0.01762681882678462,-0.018983802002683424,0.020647654360882083,-0.9194168824643393,-5.201007298623434,-0.018983802002683424,0.020647654360882083,-0.9194168824643393,-5.201007298623434,32,186271,-0.004918702111805468,-0.018198845026037674,-0.018198845026037674,0.018198845026037674,-0.021103231936313322,-0.867188145336409,-4.981616627220126,-0.021103231936313322,0.024335240339484494,-0.867188145336409,-4.981616627220126,33,93137
delta_eff_long,6,-0.002788715797198006,-0.01700234580707586,-0.01700234580707586,0.01700234580707586,-0.017937735054310212,0.01985043871425772,-0.9036442626039446,-5.1117838869405325,-0.017937735054310212,0.01985043871425772,-0.9036442626039446,-5.1117838869405325,32,186268,-0.00527078544331682,-0.01805923746803058,-0.01805923746803058,0.01805923746803058,-0.018368457576765976,-1.246999607324801,-7.1634673644856415,-0.018368457576765976,0.014730122983897313,-1.246999607324801,-7.1634673644856415,33,93134
delta_eff_long,12,8.022809882531029e-05,-0.008501279881131715,-0.008501279881131715,0.008501279881131715,-0.008526542568609406,0.016701131268726282,-0.5105368272013879,-2.8880324204765286,-0.008526542568609406,0.016701131268726282,-0.5105368272013879,-2.8880324204765286,32,186262,-0.0016764934542840939,-0.008784338948935481,-0.008784338948935481,0.008784338948935481,-0.009973944831694576,-0.6347129866218737,-3.646148514220607,-0.009973944831694576,0.015714102345343206,-0.6347129866218737,-3.646148514220607,33,93128
delta_eff_short,1,0.006601814547064159,0.0233213375829939,-0.0233213375829939,0.0233213375829939,0.027246385425718746,0.01823856403530105,1.4938887388822337,8.450710860814777,-0.027246385425718746,0.01823856403530105,-1.4938887388822337,-8.450710860814777,32,186273,0.006009938578376295,0.020238093806624616,-0.020238093806624616,0.020238093806624616,0.024176264290350555,0.7917563529583302,4.548293970363603,-0.024176264290350555,0.030534979858409726,-0.7917563529583302,-4.548293970363603,33,93139
delta_eff_short,3,0.003429991524087714,0.01762681882678462,-0.01762681882678462,0.01762681882678462,0.018983802002683424,0.020647654360882083,0.9194168824643393,5.201007298623434,-0.018983802002683424,0.020647654360882083,-0.9194168824643393,-5.201007298623434,32,186271,0.004918702111805468,0.018198845026037674,-0.018198845026037674,0.018198845026037674,0.021103231936313322,0.867188145336409,4.981616627220126,-0.021103231936313322,0.024335240339484494,-0.867188145336409,-4.981616627220126,33,93137
delta_eff_short,6,0.002788715797198006,0.01700234580707586,-0.01700234580707586,0.01700234580707586,0.017937735054310212,0.01985043871425772,0.9036442626039446,5.1117838869405325,-0.017937735054310212,0.01985043871425772,-0.9036442626039446,-5.1117838869405325,32,186268,0.00527078544331682,0.01805923746803058,-0.01805923746803058,0.01805923746803058,0.018368457576765976,1.246999607324801,7.1634673644856415,-0.018368457576765976,0.014730122983897313,-1.246999607324801,-7.1634673644856415,33,93134
delta_eff_short,12,-8.022809882531029e-05,0.008501279881131715,-0.008501279881131715,0.008501279881131715,0.008526542568609406,0.016701131268726282,0.5105368272013879,2.8880324204765286,-0.008526542568609406,0.016701131268726282,-0.5105368272013879,-2.8880324204765286,32,186262,0.0016764934542840939,0.008784338948935481,-0.008784338948935481,0.008784338948935481,0.009973944831694576,0.6347129866218737,3.646148514220607,-0.009973944831694576,0.015714102345343206,-0.6347129866218737,-3.646148514220607,33,93128
buy_trade_volume_1m,1,0.009747414362940372,0.0019035834478441304,0.0019035834478441304,0.0019035834478441304,0.002784580725181062,0.018736255434075737,0.14861991687606524,0.840721208339574,0.002784580725181062,0.018736255434075737,0.14861991687606524,0.840721208339574,32,186279,0.005078949407560409,0.003273522725995154,0.003273522725995154,0.003273522725995154,-0.0013084556577106356,-0.07254122839779835,-0.4167176309879761,-0.0013084556577106356,0.01803740695615719,-0.07254122839779835,-0.4167176309879761,33,93139
buy_trade_volume_1m,3,0.010919080964483147,0.0068911061969661215,0.0068911061969661215,0.0068911061969661215,0.009293278352374352,0.02686954146722509,0.3458666521611506,1.9565172410355078,0.009293278352374352,0.02686954146722509,0.3458666521611506,1.9565172410355078,32,186277,0.008289485286980241,0.00601104044196902,0.00601104044196902,0.00601104044196902,-0.0020304422330054595,-0.054307638569034124,-0.3119736319453614,-0.0020304422330054595,0.03738778349613612,-0.054307638569034124,-0.3119736319453614,33,93137
