factor,horizon,sample,quantile,mean_return,win_rate,sample_count,spread_qhigh_qlow,oriented_spread
delta_eff_long,1,in_sample,1,4.2040784180036875e-05,51.87094003328502,18627,-8.462125761859806e-05,-8.462125761859806e-05
delta_eff_long,1,in_sample,2,4.910724544413748e-05,51.2535566650561,18627,-8.462125761859806e-05,-8.462125761859806e-05
delta_eff_long,1,in_sample,3,4.8439502848585384e-05,50.6093305416868,18627,-8.462125761859806e-05,-8.462125761859806e-05
delta_eff_long,1,in_sample,4,-6.550152052707558e-05,48.57464970204542,18627,-8.462125761859806e-05,-8.462125761859806e-05
delta_eff_long,1,in_sample,5,-4.2580473438561184e-05,47.439063674433584,18626,-8.462125761859806e-05,-8.462125761859806e-05
delta_eff_long,1,out_of_sample,1,3.423031171419019e-05,51.857585139318886,25194,-3.73422091558709e-05,-3.73422091558709e-05
delta_eff_long,1,out_of_sample,2,1.99154327935831e-05,50.85543766578249,15080,-3.73422091558709e-05,-3.73422091558709e-05
delta_eff_long,1,out_of_sample,3,2.487670846226288e-05,50.249595725233775,14223,-3.73422091558709e-05,-3.73422091558709e-05
delta_eff_long,1,out_of_sample,4,-2.5759493978918623e-06,48.9537518326003,15006,-3.73422091558709e-05,-3.73422091558709e-05
delta_eff_long,1,out_of_sample,5,-3.111897441680715e-06,49.06921644948384,23636,-3.73422091558709e-05,-3.73422091558709e-05
delta_eff_long,3,in_sample,1,8.190573866952989e-05,51.908519890481564,18627,-4.402909867643456e-05,-4.402909867643456e-05
delta_eff_long,3,in_sample,2,-2.5812966184286687e-05,51.1354485424384,18627,-4.402909867643456e-05,-4.402909867643456e-05
delta_eff_long,3,in_sample,3,4.526827034224508e-05,50.73817576636066,18627,-4.402909867643456e-05,-4.402909867643456e-05
delta_eff_long,3,in_sample,4,-4.79028082201471e-05,49.723519622054006,18627,-4.402909867643456e-05,-4.402909867643456e-05
delta_eff_long,3,in_sample,5,3.787663999309533e-05,48.74369161387308,18626,-4.402909867643456e-05,-4.402909867643456e-05
delta_eff_long,3,out_of_sample,1,5.201325900947212e-05,51.67705314968444,25193,-3.0757942385709254e-05,-3.0757942385709254e-05
delta_eff_long,3,out_of_sample,2,0.00010310381313606322,51.26657824933687,15080,-3.0757942385709254e-05,-3.0757942385709254e-05
delta_eff_long,3,out_of_sample,3,8.794220862263224e-05,50.99486746818533,14223,-3.0757942385709254e-05,-3.0757942385709254e-05
delta_eff_long,3,out_of_sample,4,-2.8249433734756654e-05,49.54684792749567,15006,-3.0757942385709254e-05,-3.0757942385709254e-05
delta_eff_long,3,out_of_sample,5,2.1255316623762862e-05,49.53247302729004,23635,-3.0757942385709254e-05,-3.0757942385709254e-05
delta_eff_long,6,in_sample,1,8.59028090337781e-05,51.93536264562195,18627,-3.350409309798791e-05,-3.350409309798791e-05
delta_eff_long,6,in_sample,2,-3.0498790349377207e-05,50.700595909164115,18627,-3.350409309798791e-05,-3.350409309798791e-05
delta_eff_long,6,in_sample,3,1.0041598018724541e-05,50.52880227626564,18627,-3.350409309798791e-05,-3.350409309798791e-05
delta_eff_long,6,in_sample,4,5.705100367684102e-05,49.36919525420089,18627,-3.350409309798791e-05,-3.350409309798791e-05
delta_eff_long,6,in_sample,5,5.239871593579019e-05,48.872543756039946,18626,-3.350409309798791e-05,-3.350409309798791e-05
delta_eff_long,6,out_of_sample,1,9.131871864149978e-05,52.089866232683676,25193,-6.256092180572206e-05,-6.256092180572206e-05
delta_eff_long,6,out_of_sample,2,0.00016100855190577596,51.61140583554376,15080,-6.256092180572206e-05,-6.256092180572206e-05
delta_eff_long,6,out_of_sample,3,0.00018750123788944335,51.726320230644816,14221,-6.256092180572206e-05,-6.256092180572206e-05
delta_eff_long,6,out_of_sample,4,1.8324536082881817e-05,50.31320805011329,15006,-6.256092180572206e-05,-6.256092180572206e-05
delta_eff_long,6,out_of_sample,5,2.8757796835777716e-05,49.66150461199966,23634,-6.256092180572206e-05,-6.256092180572206e-05
delta_eff_long,12,in_sample,1,-1.5930068337155795e-06,50.65227894991142,18627,9.838691941223419e-05,9.838691941223419e-05
delta_eff_long,12,in_sample,2,9.392430043221295e-07,51.06565737907339,18627,9.838691941223419e-05,9.838691941223419e-05
delta_eff_long,12,in_sample,3,0.00011287009785731379,50.255006173833685,18627,9.838691941223419e-05,9.838691941223419e-05
delta_eff_long,12,in_sample,4,0.00012944831086208894,50.12079239813174,18627,9.838691941223419e-05,9.838691941223419e-05
