factor,horizon,period,ic,rank_ic,spread_qhigh_qlow,sample_count,split
delta_eff_long,1,2021,-0.011488516897179332,-0.02428898530500787,-0.00012977619539964876,35037,train
delta_eff_long,1,2022,-0.003778185214399462,-0.025450554815699748,-4.5278221702492704e-05,35037,train
delta_eff_long,1,2023,-0.011300117183497544,-0.04074899241124097,-9.064550866942467e-05,35040,mixed
delta_eff_long,1,2024,0.0006125328832454498,-0.013226721297137369,-4.7337721000100766e-07,35136,test
delta_eff_long,1,2025,-0.008502099079722398,-0.01996007144892644,-7.275864798716677e-05,35040,test
delta_eff_long,1,2026,-0.010192828407532224,-0.01580010645127248,-0.00011033677874008859,10983,test
delta_eff_long,3,2021,-0.0012429072187153747,-0.00581665901490461,-4.582811489182347e-05,35037,train
delta_eff_long,3,2022,-0.0024395301639722504,-0.02331339017650405,-9.521562651991615e-05,35037,train
delta_eff_long,3,2023,-0.006930190032927793,-0.0301218908865537,-0.00011482245979720037,35040,mixed
delta_eff_long,3,2024,-0.004283613058348024,-0.021737336989261263,-1.7675092135400156e-05,35136,test
delta_eff_long,3,2025,-0.0018490817268190431,-0.010827976744200897,-7.4480440850282005e-06,35040,test
delta_eff_long,3,2026,-0.009863593829690955,-0.014440566330056118,-0.00016431838651889658,10981,test
delta_eff_long,6,2021,0.0034486171015249327,-0.0009440682013875257,6.5994438575623e-05,35037,train
delta_eff_long,6,2022,-0.005631555272559142,-0.02619053499702041,-0.00022389864387282207,35037,train
delta_eff_long,6,2023,-0.0031984077571892817,-0.023988955895742674,-0.00011637655519470156,35040,mixed
delta_eff_long,6,2024,-0.004306066233604162,-0.018685886443601522,-7.959297257155703e-05,35136,test
delta_eff_long,6,2025,-0.0026633494813480076,-0.014394426001623082,-4.104051853768291e-05,35040,test
delta_eff_long,6,2026,-0.010959062538137292,-0.02166127411340791,-0.00016082013313559006,10978,test
delta_eff_long,12,2021,0.005523891229295291,0.001850263563636395,0.00019868220272182115,35037,train
delta_eff_long,12,2022,-0.004458257462766917,-0.013885746651030288,-0.00015024332030246775,35037,train
delta_eff_long,12,2023,0.005263901792596533,-0.012054221967326445,7.055164592358954e-06,35040,mixed
delta_eff_long,12,2024,0.0016665833332645276,-0.00442817202433522,-3.2913235363754177e-06,35136,test
delta_eff_long,12,2025,-0.002921554543007732,-0.010322526014149045,-9.575469562521461e-05,35040,test
delta_eff_long,12,2026,-0.007461361548383961,-0.013473581680950078,-0.00028514130635700583,10972,test
delta_eff_short,1,2021,0.011488516897179332,0.02428898530500787,0.00012889257296142158,35037,train
delta_eff_short,1,2022,0.003778185214399462,0.025450554815699748,4.3917570918525685e-05,35037,train
delta_eff_short,1,2023,0.011300117183497544,0.04074899241124097,9.064550866942467e-05,35040,mixed
delta_eff_short,1,2024,-0.0006125328832454498,0.013226721297137369,7.000275270647308e-07,35136,test
delta_eff_short,1,2025,0.008502099079722398,0.01996007144892644,7.275864798716677e-05,35040,test
delta_eff_short,1,2026,0.010192828407532224,0.01580010645127248,0.00010752758374353665,10983,test
delta_eff_short,3,2021,0.0012429072187153747,0.00581665901490461,4.528436374832013e-05,35037,train
delta_eff_short,3,2022,0.0024395301639722504,0.02331339017650405,9.452210378832924e-05,35037,train
delta_eff_short,3,2023,0.006930190032927793,0.0301218908865537,0.00011482245979720037,35040,mixed
delta_eff_short,3,2024,0.004283613058348024,0.021737336989261263,1.7118351815943112e-05,35136,test
delta_eff_short,3,2025,0.0018490817268190431,0.010827976744200897,7.4480440850282005e-06,35040,test
delta_eff_short,3,2026,0.009863593829690955,0.014440566330056118,0.00016267618487197412,10981,test
delta_eff_short,6,2021,-0.0034486171015249327,0.0009440682013875257,-6.621360503210026e-05,35037,train
delta_eff_short,6,2022,0.005631555272559142,0.02619053499702041,0.0002235734056384939,35037,train
delta_eff_short,6,2023,0.0031984077571892817,0.023988955895742674,0.00011637655519470156,35040,mixed
delta_eff_short,6,2024,0.004306066233604162,0.018685886443601522,7.991309991701484e-05,35136,test
delta_eff_short,6,2025,0.0026633494813480076,0.014394426001623082,4.104051853768291e-05,35040,test
delta_eff_short,6,2026,0.010959062538137292,0.02166127411340791,0.00015878406949631197,10978,test
delta_eff_short,12,2021,-0.005523891229295291,-0.001850263563636395,-0.00020359431633611106,35037,train
delta_eff_short,12,2022,0.004458257462766917,0.013885746651030288,0.0001502717454675597,35037,train
delta_eff_short,12,2023,-0.005263901792596533,0.012054221967326445,-7.055164592358954e-06,35040,mixed
delta_eff_short,12,2024,-0.0016665833332645276,0.00442817202433522,1.3619153215999437e-06,35136,test
delta_eff_short,12,2025,0.002921554543007732,0.010322526014149045,9.575469562521461e-05,35040,test
delta_eff_short,12,2026,0.007461361548383961,0.013473581680950078,0.000284323637547059,10972,test
buy_trade_volume_1m,1,2021,0.014689651481198409,0.0048498490841148,7.273055420764685e-05,35040,train
buy_trade_volume_1m,1,2022,0.017716564840594945,0.002011926873286465,2.6658981864690933e-05,35040,train
buy_trade_volume_1m,1,2023,0.0019757357273335343,0.0009790591661271175,5.451655340795647e-05,35040,mixed
buy_trade_volume_1m,1,2024,0.0061642872194913,0.0034910959012306214,-1.7456394156080872e-05,35136,test
buy_trade_volume_1m,1,2025,0.005626052105947917,-0.0023669765608293754,-4.8689004962529405e-05,35040,test
buy_trade_volume_1m,1,2026,0.021843743185777427,0.012360303695271236,4.106831884095229e-05,10983,test
buy_trade_volume_1m,3,2021,0.023618409435252247,0.018800796695500225,0.00018924732844429533,35040,train
buy_trade_volume_1m,3,2022,0.0070275532615268095,0.0022131441290947013,8.938549866867725e-05,35040,train
buy_trade_volume_1m,3,2023,0.011694505568640271,0.001841422556532596,3.6295013339668675e-05,35040,mixed
buy_trade_volume_1m,3,2024,0.003543428695328189,0.0019113989950954558,-1.1189014332780043e-05,35136,test
buy_trade_volume_1m,3,2025,0.011996521669099904,0.006243083097809236,-2.1434237620673885e-05,35040,test
buy_trade_volume_1m,3,2026,0.025824705658928488,0.020050481270434052,0.0002684343942362753,10981,test
buy_trade_volume_1m,6,2021,0.023091273677526152,0.02313254374179201,0.00024330114232352736,35040,train
buy_trade_volume_1m,6,2022,-0.0002519910114457766,-0.006178556834896525,-6.094049989854676e-06,35040,train
buy_trade_volume_1m,6,2023,0.03599474015342248,0.00785150352046667,0.00031552089608643716,35040,mixed
buy_trade_volume_1m,6,2024,0.015837774803871982,0.0031007003546073713,0.00010415432285712414,35136,test
buy_trade_volume_1m,6,2025,0.010076997023423889,0.011882080705787204,3.2421282509614105e-05,35040,test
buy_trade_volume_1m,6,2026,0.0276931353321794,0.020879599244626613,0.0003833808894786801,10978,test
buy_trade_volume_1m,12,2021,0.028991731262343074,0.01082281938737849,0.00011575390397947549,35040,train
buy_trade_volume_1m,12,2022,-0.01310292484162807,-0.010068848172907997,-0.0002606124913276948,35040,train
buy_trade_volume_1m,12,2023,0.048171574444506704,0.018512646758076817,0.0006593184187567827,35040,mixed
buy_trade_volume_1m,12,2024,0.025268389513476017,0.01494387405671911,0.0004747594956521949,35136,test
buy_trade_volume_1m,12,2025,0.007138875162270495,0.021291015577593293,9.140862074000745e-05,35040,test
buy_trade_volume_1m,12,2026,0.0062635761490885,0.03943004261262059,0.000960670181476576,10972,test
sell_trade_volume_1m,1,2021,0.020442999022113884,0.010384670598175626,0.00010964583467584345,35040,train
sell_trade_volume_1m,1,2022,0.018701897281380112,0.008039787800165824,7.247662618795959e-05,35040,train
sell_trade_volume_1m,1,2023,0.00620124686917992,0.013504805292520917,6.249518405431143e-05,35040,mixed
sell_trade_volume_1m,1,2024,0.0057618908858840055,0.006717107464790326,-1.5654293273539957e-05,35136,test
sell_trade_volume_1m,1,2025,0.009151467744606548,0.0061245017540300685,-1.9643469895252416e-05,35040,test
sell_trade_volume_1m,1,2026,0.029436785574796974,0.018816610122344465,4.905089614854971e-05,10983,test
sell_trade_volume_1m,3,2021,0.029335720997314397,0.019464758418240854,0.00025218486991600395,35040,train
sell_trade_volume_1m,3,2022,0.007318454032370937,0.00820749397506136,0.00014585953772319082,35040,train
sell_trade_volume_1m,3,2023,0.013028512176884544,0.010747030873098341,0.00012489310353586196,35040,mixed
sell_trade_volume_1m,3,2024,0.00685712082407967,0.008618544082923578,-1.2707259729469335e-05,35136,test
sell_trade_volume_1m,3,2025,0.012931330016045215,0.010043689696734933,-3.880722867832843e-06,35040,test
sell_trade_volume_1m,3,2026,0.03737018666436273,0.02535604620689343,0.00022858081831018953,10981,test
sell_trade_volume_1m,6,2021,0.024557143931988632,0.023169917144163492,0.0002753523775742965,35040,train
sell_trade_volume_1m,6,2022,0.001488577846183683,0.0005686959088689117,-2.1497916104268062e-05,35040,train
sell_trade_volume_1m,6,2023,0.037976895086793784,0.014787754570965842,0.0003715557578153423,35040,mixed
sell_trade_volume_1m,6,2024,0.019734236138303447,0.008090759915538382,9.832864214828028e-05,35136,test
sell_trade_volume_1m,6,2025,0.008153108272018704,0.018285368786620557,4.8539097900432136e-05,35040,test
sell_trade_volume_1m,6,2026,0.037387101680431474,0.028655865809908383,0.00046367579086256655,10978,test
sell_trade_volume_1m,12,2021,0.029980378076806903,0.009534915199114825,0.0001676085160762853,35040,train
sell_trade_volume_1m,12,2022,-0.011357314113524721,-0.006041178392550677,-0.00027013205116603324,35040,train
sell_trade_volume_1m,12,2023,0.045490679511886886,0.02144552377798975,0.0007164769602103648,35040,mixed
sell_trade_volume_1m,12,2024,0.027067497550882086,0.01538790594274391,0.0004510702102528732,35136,test
sell_trade_volume_1m,12,2025,0.006484788953918841,0.025582217453384317,8.300729951638054e-05,35040,test
sell_trade_volume_1m,12,2026,0.010453473386208995,0.04437979889418653,0.0009246701171309098,10972,test
trade_volume_delta_1m,1,2021,-0.02066581795099045,-0.031217164953581022,-0.00029037945912970724,35040,train
trade_volume_delta_1m,1,2022,-0.0037379598069489086,-0.031716756041431204,-4.8057880745931974e-05,35040,train
trade_volume_delta_1m,1,2023,-0.01486169357463208,-0.04852709977106249,-9.72501596469758e-05,35040,mixed
trade_volume_delta_1m,1,2024,0.0006714101584336076,-0.019357001852846743,-1.8856539311547478e-05,35136,test
trade_volume_delta_1m,1,2025,-0.010669694752341266,-0.02239842922760964,-2.7060183593919762e-05,35040,test
trade_volume_delta_1m,1,2026,-0.02034576239050501,-0.015898247588963615,-6.318449860053825e-05,10983,test
trade_volume_delta_1m,3,2021,-0.021277878677247973,-0.008464027872474137,-0.00019183076206452714,35040,train
trade_volume_delta_1m,3,2022,-0.0011367338875431757,-0.025112796958552678,3.7069410368498826e-05,35040,train
trade_volume_delta_1m,3,2023,-0.00450430590692885,-0.03639204577137061,-6.316676784047065e-05,35040,mixed
trade_volume_delta_1m,3,2024,-0.011284715430138233,-0.027707513147926473,-0.00015682667170424197,35136,test
trade_volume_delta_1m,3,2025,-0.0035161001440128276,-0.013140882300392218,2.979783892402418e-05,35040,test
trade_volume_delta_1m,3,2026,-0.030547509252161757,-0.013338671703006899,-0.00015763321442839888,10981,test
trade_volume_delta_1m,6,2021,-0.0068557915721674904,-0.0006703707914255827,0.00012466140787717326,35040,train
trade_volume_delta_1m,6,2022,-0.006020687451763534,-0.027277065331875783,1.03578442467678e-05,35040,train
trade_volume_delta_1m,6,2023,-0.006377338970889741,-0.03135534432211638,-6.121754937512221e-05,35040,mixed
trade_volume_delta_1m,6,2024,-0.014506322840058327,-0.021153479566614196,-0.00017856238255320377,35136,test
trade_volume_delta_1m,6,2025,0.004962972152817878,-0.017338823304052564,8.320713674615331e-07,35040,test
trade_volume_delta_1m,6,2026,-0.025962498925989223,-0.026001407373010498,-0.0002483832512118906,10978,test
trade_volume_delta_1m,12,2021,-0.005726792451811294,0.0037752901050229428,0.00033839483346895065,35040,train
trade_volume_delta_1m,12,2022,-0.005800927138103255,-0.012031588496545433,2.3482845401887238e-05,35040,train
trade_volume_delta_1m,12,2023,0.01026649540088257,-0.019836546844028233,0.00013931813034707762,35040,mixed
trade_volume_delta_1m,12,2024,-0.008601057563578247,-0.005632599322213236,7.204108578803348e-05,35136,test
trade_volume_delta_1m,12,2025,0.0014445344555774355,-0.01498494718339433,-3.842015610981151e-05,35040,test
trade_volume_delta_1m,12,2026,-0.010920937660208099,-0.020348214336376316,-0.0004416879105071077,10972,test
trade_volume_delta_ratio_1m,1,2021,-0.011488516897179332,-0.02428898530500787,-0.00012977619539964876,35037,train
trade_volume_delta_ratio_1m,1,2022,-0.003778185214399462,-0.025450554815699748,-4.5278221702492704e-05,35037,train
trade_volume_delta_ratio_1m,1,2023,-0.011300117183497544,-0.04074899241124097,-9.064550866942467e-05,35040,mixed
trade_volume_delta_ratio_1m,1,2024,0.0006125328832454498,-0.013226721297137369,-4.7337721000100766e-07,35136,test
trade_volume_delta_ratio_1m,1,2025,-0.008502099079722398,-0.01996007144892644,-7.275864798716677e-05,35040,test
trade_volume_delta_ratio_1m,1,2026,-0.010192828407532224,-0.01580010645127248,-0.00011033677874008859,10983,test
trade_volume_delta_ratio_1m,3,2021,-0.0012429072187153747,-0.00581665901490461,-4.582811489182347e-05,35037,train
trade_volume_delta_ratio_1m,3,2022,-0.0024395301639722504,-0.02331339017650405,-9.521562651991615e-05,35037,train
trade_volume_delta_ratio_1m,3,2023,-0.006930190032927793,-0.0301218908865537,-0.00011482245979720037,35040,mixed
trade_volume_delta_ratio_1m,3,2024,-0.004283613058348024,-0.021737336989261263,-1.7675092135400156e-05,35136,test
trade_volume_delta_ratio_1m,3,2025,-0.0018490817268190431,-0.010827976744200897,-7.4480440850282005e-06,35040,test
trade_volume_delta_ratio_1m,3,2026,-0.009863593829690955,-0.014440566330056118,-0.00016431838651889658,10981,test
trade_volume_delta_ratio_1m,6,2021,0.0034486171015249327,-0.0009440682013875257,6.5994438575623e-05,35037,train
trade_volume_delta_ratio_1m,6,2022,-0.005631555272559142,-0.02619053499702041,-0.00022389864387282207,35037,train
trade_volume_delta_ratio_1m,6,2023,-0.0031984077571892817,-0.023988955895742674,-0.00011637655519470156,35040,mixed
trade_volume_delta_ratio_1m,6,2024,-0.004306066233604162,-0.018685886443601522,-7.959297257155703e-05,35136,test
trade_volume_delta_ratio_1m,6,2025,-0.0026633494813480076,-0.014394426001623082,-4.104051853768291e-05,35040,test
trade_volume_delta_ratio_1m,6,2026,-0.010959062538137292,-0.02166127411340791,-0.00016082013313559006,10978,test
trade_volume_delta_ratio_1m,12,2021,0.005523891229295291,0.001850263563636395,0.00019868220272182115,35037,train
trade_volume_delta_ratio_1m,12,2022,-0.004458257462766917,-0.013885746651030288,-0.00015024332030246775,35037,train
trade_volume_delta_ratio_1m,12,2023,0.005263901792596533,-0.012054221967326445,7.055164592358954e-06,35040,mixed
trade_volume_delta_ratio_1m,12,2024,0.0016665833332645276,-0.00442817202433522,-3.2913235363754177e-06,35136,test
trade_volume_delta_ratio_1m,12,2025,-0.002921554543007732,-0.010322526014149045,-9.575469562521461e-05,35040,test
trade_volume_delta_ratio_1m,12,2026,-0.007461361548383961,-0.013473581680950078,-0.00028514130635700583,10972,test
taker_buy_ratio_1m,1,2021,-0.011488516897179338,-0.02428898530500787,-0.00012977619539964876,35037,train
taker_buy_ratio_1m,1,2022,-0.0037781852143994638,-0.025450554815699748,-4.5278221702492704e-05,35037,train
taker_buy_ratio_1m,1,2023,-0.011300117183497535,-0.04074899241124097,-9.064550866942467e-05,35040,mixed
taker_buy_ratio_1m,1,2024,0.0006125328832454509,-0.013226721297137369,-4.7337721000100766e-07,35136,test
taker_buy_ratio_1m,1,2025,-0.008502099079722407,-0.01996007144892644,-7.275864798716677e-05,35040,test
taker_buy_ratio_1m,1,2026,-0.010192828407532226,-0.01580010645127248,-0.00011033677874008859,10983,test
taker_buy_ratio_1m,3,2021,-0.0012429072187153767,-0.00581665901490461,-4.582811489182347e-05,35037,train
taker_buy_ratio_1m,3,2022,-0.0024395301639722517,-0.02331339017650405,-9.521562651991615e-05,35037,train
taker_buy_ratio_1m,3,2023,-0.00693019003292779,-0.0301218908865537,-0.00011482245979720037,35040,mixed
taker_buy_ratio_1m,3,2024,-0.00428361305834802,-0.021737336989261263,-1.7675092135400156e-05,35136,test
taker_buy_ratio_1m,3,2025,-0.0018490817268190464,-0.010827976744200897,-7.4480440850282005e-06,35040,test
taker_buy_ratio_1m,3,2026,-0.009863593829690953,-0.014440566330056118,-0.00016431838651889658,10981,test
taker_buy_ratio_1m,6,2021,0.00344861710152492,-0.0009440682013875257,6.5994438575623e-05,35037,train
taker_buy_ratio_1m,6,2022,-0.00563155527255915,-0.02619053499702041,-0.00022389864387282207,35037,train
taker_buy_ratio_1m,6,2023,-0.003198407757189281,-0.023988955895742674,-0.00011637655519470156,35040,mixed
taker_buy_ratio_1m,6,2024,-0.004306066233604161,-0.018685886443601522,-7.959297257155703e-05,35136,test
taker_buy_ratio_1m,6,2025,-0.002663349481348008,-0.014394426001623082,-4.104051853768291e-05,35040,test
