factor,horizon,sample,quantile,mean_return,win_rate,sample_count,spread_qhigh_qlow,oriented_spread
return_1m,1,in_sample,1,0.00013520568649337135,52.98475413356238,18628,-0.00025585512653028845,-0.00025585512653028845
return_1m,1,in_sample,2,5.5221280862636234e-05,52.22246081168134,18628,-0.00025585512653028845,-0.00025585512653028845
return_1m,1,in_sample,3,-9.426892216665543e-06,50.18788919905519,18628,-0.00025585512653028845,-0.00025585512653028845
return_1m,1,in_sample,4,-2.9067881902217647e-05,47.68627872020615,18628,-0.00025585512653028845,-0.00025585512653028845
return_1m,1,in_sample,5,-0.0001206494400369171,46.658076985021744,18627,-0.00025585512653028845,-0.00025585512653028845
return_1m,1,out_of_sample,1,2.971405123837527e-05,53.01309411849816,13823,-2.0319181425061114e-05,-2.0319181425061114e-05
return_1m,1,out_of_sample,2,6.534220087582904e-05,51.935784085621215,21490,-2.0319181425061114e-05,-2.0319181425061114e-05
return_1m,1,out_of_sample,3,1.589750274193144e-05,50.24809335661122,21766,-2.0319181425061114e-05,-2.0319181425061114e-05
return_1m,1,out_of_sample,4,-4.053940367538714e-05,48.023886584309615,21937,-2.0319181425061114e-05,-2.0319181425061114e-05
return_1m,1,out_of_sample,5,9.394869813314157e-06,48.601571903986404,14123,-2.0319181425061114e-05,-2.0319181425061114e-05
return_1m,3,in_sample,1,0.00011573140623255685,52.60897573545201,18628,-0.00012564051257434627,-0.00012564051257434627
return_1m,3,in_sample,2,1.2438969106142242e-05,51.32059265621645,18628,-0.00012564051257434627,-0.00012564051257434627
return_1m,3,in_sample,3,-1.6320010608773964e-05,50.40261971226111,18628,-0.00012564051257434627,-0.00012564051257434627
return_1m,3,in_sample,4,-1.1565981233400122e-05,49.08739531887481,18628,-0.00012564051257434627,-0.00012564051257434627
return_1m,3,in_sample,5,-9.909106341789427e-06,48.83234015139314,18627,-0.00012564051257434627,-0.00012564051257434627
return_1m,3,out_of_sample,1,0.00011246964787786973,52.911813643926784,13823,-9.695657033210759e-05,-9.695657033210759e-05
return_1m,3,out_of_sample,2,7.479357798294684e-05,51.705523756340455,21489,-9.695657033210759e-05,-9.695657033210759e-05
return_1m,3,out_of_sample,3,2.811820124413328e-05,50.23890471377378,21766,-9.695657033210759e-05,-9.695657033210759e-05
return_1m,3,out_of_sample,4,9.18231235190061e-06,49.64671559465742,21937,-9.695657033210759e-05,-9.695657033210759e-05
return_1m,3,out_of_sample,5,1.5513077545762135e-05,48.817447953547656,14122,-9.695657033210759e-05,-9.695657033210759e-05
return_1m,6,in_sample,1,0.00016546203441820422,53.016963710543266,18628,-0.0001174790941409294,-0.0001174790941409294
return_1m,6,in_sample,2,-2.890938348436137e-06,50.79450289886193,18628,-0.0001174790941409294,-0.0001174790941409294
return_1m,6,in_sample,3,-5.4116471153555835e-05,49.45243719132489,18628,-0.0001174790941409294,-0.0001174790941409294
return_1m,6,in_sample,4,1.6919179781449326e-05,48.657934292462954,18628,-0.0001174790941409294,-0.0001174790941409294
return_1m,6,in_sample,5,4.7982940277274806e-05,49.47656627476244,18627,-0.0001174790941409294,-0.0001174790941409294
return_1m,6,out_of_sample,1,0.000276903002564808,54.0765391014975,13823,-0.00016088211577889835,-0.00016088211577889835
return_1m,6,out_of_sample,2,0.00011569304109876335,51.686909581646425,21489,-0.00016088211577889835,-0.00016088211577889835
return_1m,6,out_of_sample,3,9.913361770491381e-06,50.44109538687741,21764,-0.00016088211577889835,-0.00016088211577889835
return_1m,6,out_of_sample,4,8.284872856875285e-06,50.041028446389504,21936,-0.00016088211577889835,-0.00016088211577889835
return_1m,6,out_of_sample,5,0.00011602088678590968,49.653023651040925,14122,-0.00016088211577889835,-0.00016088211577889835
return_1m,12,in_sample,1,0.00013367012000992505,52.308353016963714,18628,-3.8055333693065666e-05,-3.8055333693065666e-05
return_1m,12,in_sample,2,3.3013077964280963e-05,50.46703886622289,18628,-3.8055333693065666e-05,-3.8055333693065666e-05
return_1m,12,in_sample,3,-3.2443898929313515e-05,49.5544341850977,18628,-3.8055333693065666e-05,-3.8055333693065666e-05
return_1m,12,in_sample,4,0.00010763147858555484,49.21086536396822,18628,-3.8055333693065666e-05,-3.8055333693065666e-05
return_1m,12,in_sample,5,9.561478631685939e-05,49.58930584635207,18627,-3.8055333693065666e-05,-3.8055333693065666e-05
return_1m,12,out_of_sample,1,0.00041269685980298683,53.54843376980395,13823,-6.819085976359521e-05,-6.819085976359521e-05
return_1m,12,out_of_sample,2,0.00015387953739597865,51.58453162082927,21489,-6.819085976359521e-05,-6.819085976359521e-05
return_1m,12,out_of_sample,3,4.104629055500079e-05,51.204044117647065,21760,-6.819085976359521e-05,-6.819085976359521e-05
return_1m,12,out_of_sample,4,8.626995591563225e-05,50.41488100665633,21934,-6.819085976359521e-05,-6.819085976359521e-05
return_1m,12,out_of_sample,5,0.0003445060000393916,51.07633479677099,14122,-6.819085976359521e-05,-6.819085976359521e-05
return_3m,1,in_sample,1,0.00010957338672174327,53.68799656431179,18628,-0.00010656263842810667,-0.00010656263842810667
return_3m,1,in_sample,2,-2.327621676397241e-05,51.71247584281726,18628,-0.00010656263842810667,-0.00010656263842810667
return_3m,1,in_sample,3,-3.087481853027393e-05,49.51951468298706,18627,-0.00010656263842810667,-0.00010656263842810667
return_3m,1,in_sample,4,-2.806991554004337e-05,47.61367906801954,18627,-0.00010656263842810667,-0.00010656263842810667
return_3m,1,in_sample,5,3.010748293636589e-06,47.20030063885757,18627,-0.00010656263842810667,-0.00010656263842810667
return_3m,1,out_of_sample,1,1.982875823410919e-05,53.19101950680898,13585,-1.905066893273638e-05,-1.905066893273638e-05
return_3m,1,out_of_sample,2,3.420659502035826e-05,51.857627740574266,21802,-1.905066893273638e-05,-1.905066893273638e-05
return_3m,1,out_of_sample,3,1.2500006812002057e-05,50.01128617218185,22151,-1.905066893273638e-05,-1.905066893273638e-05
return_3m,1,out_of_sample,4,4.719705326434312e-06,48.639582556839365,21464,-1.905066893273638e-05,-1.905066893273638e-05
return_3m,1,out_of_sample,5,7.780893013728112e-07,47.92388767065148,14137,-1.905066893273638e-05,-1.905066893273638e-05
return_3m,3,in_sample,1,0.00011766565948631643,53.69873308997208,18628,3.989719449476951e-05,3.989719449476951e-05
return_3m,3,in_sample,2,-8.537698047617767e-05,51.64268842602534,18628,3.989719449476951e-05,3.989719449476951e-05
return_3m,3,in_sample,3,-2.7680111509341334e-05,50.14763515327213,18627,3.989719449476951e-05,3.989719449476951e-05
return_3m,3,in_sample,4,-7.335193683120519e-05,47.53315080259838,18627,3.989719449476951e-05,3.989719449476951e-05
return_3m,3,in_sample,5,0.00015756285398108594,49.2242443764428,18627,3.989719449476951e-05,3.989719449476951e-05
return_3m,3,out_of_sample,1,7.956369552075107e-05,53.095325726904676,13585,-3.629201195745667e-05,-3.629201195745667e-05
return_3m,3,out_of_sample,2,6.684319241032745e-05,52.0985275904775,21801,-3.629201195745667e-05,-3.629201195745667e-05
return_3m,3,out_of_sample,3,2.7288810965075607e-05,50.313755586655226,22151,-3.629201195745667e-05,-3.629201195745667e-05
return_3m,3,out_of_sample,4,2.0505450856236515e-05,49.18231374924289,21463,-3.629201195745667e-05,-3.629201195745667e-05
return_3m,3,out_of_sample,5,4.32716835632944e-05,48.61710405319375,14137,-3.629201195745667e-05,-3.629201195745667e-05
return_3m,6,in_sample,1,0.00018798610931564314,54.08524801374275,18628,5.894286625671651e-06,5.894286625671651e-06
return_3m,6,in_sample,2,-7.36717047036741e-05,51.58363753489371,18628,5.894286625671651e-06,5.894286625671651e-06
return_3m,6,in_sample,3,-1.5551025340464387e-05,49.610780050464385,18627,5.894286625671651e-06,5.894286625671651e-06
return_3m,6,in_sample,4,-0.00012050339919432791,47.49557094540184,18627,5.894286625671651e-06,5.894286625671651e-06
return_3m,6,in_sample,5,0.0001938803959413148,48.61759811027004,18627,5.894286625671651e-06,5.894286625671651e-06
return_3m,6,out_of_sample,1,0.00020532475943303295,53.61796098638204,13585,-0.00012445305665504219,-0.00012445305665504219
return_3m,6,out_of_sample,2,9.453152014346803e-05,52.566396036879034,21801,-0.00012445305665504219,-0.00012445305665504219
return_3m,6,out_of_sample,3,5.670415472085663e-05,50.39729119638826,22150,-0.00012445305665504219,-0.00012445305665504219
return_3m,6,out_of_sample,4,5.1264968435382555e-05,49.85322212385257,21461,-0.00012445305665504219,-0.00012445305665504219
return_3m,6,out_of_sample,5,8.087170277799077e-05,49.11225861215251,14137,-0.00012445305665504219,-0.00012445305665504219
return_3m,12,in_sample,1,0.00018391603839327427,53.145802018466824,18628,9.125417889542457e-05,9.125417889542457e-05
return_3m,12,in_sample,2,-0.00014741887407343485,50.671032853768516,18628,9.125417889542457e-05,9.125417889542457e-05
return_3m,12,in_sample,3,4.3967025705296406e-05,49.766468030278624,18627,9.125417889542457e-05,9.125417889542457e-05
return_3m,12,in_sample,4,-1.9330945842952787e-05,48.68738927363505,18627,9.125417889542457e-05,9.125417889542457e-05
return_3m,12,in_sample,5,0.00027517021728869884,48.85381435550545,18627,9.125417889542457e-05,9.125417889542457e-05
return_3m,12,out_of_sample,1,0.00037207531353300607,53.63268310636732,13585,-7.399923850548527e-05,-7.399923850548527e-05
return_3m,12,out_of_sample,2,0.00015354441073457188,52.726939131232506,21801,-7.399923850548527e-05,-7.399923850548527e-05
return_3m,12,out_of_sample,3,6.506808623854173e-05,50.93027456647399,22144,-7.399923850548527e-05,-7.399923850548527e-05
return_3m,12,out_of_sample,4,0.00012138848577162464,50.151437491263216,21461,-7.399923850548527e-05,-7.399923850548527e-05
return_3m,12,out_of_sample,5,0.0002980760750275208,50.06719954728725,14137,-7.399923850548527e-05,-7.399923850548527e-05
return_5m,1,in_sample,1,8.511479160547351e-05,53.51371664787674,18627,-7.973654347454631e-05,-7.973654347454631e-05
return_5m,1,in_sample,2,-2.040431958438309e-05,52.128630482632744,18627,-7.973654347454631e-05,-7.973654347454631e-05
return_5m,1,in_sample,3,1.039545903932607e-06,49.78794223439094,18627,-7.973654347454631e-05,-7.973654347454631e-05
return_5m,1,in_sample,4,-4.0615523113104805e-05,47.37746282278413,18627,-7.973654347454631e-05,-7.973654347454631e-05
return_5m,1,in_sample,5,5.378248130927202e-06,46.931873087453695,18627,-7.973654347454631e-05,-7.973654347454631e-05
return_5m,1,out_of_sample,1,4.256591819135672e-05,53.145352279455295,13512,-2.844252404033963e-05,-2.844252404033963e-05
return_5m,1,out_of_sample,2,5.3032151658834394e-06,51.405659507788734,21698,-2.844252404033963e-05,-2.844252404033963e-05
return_5m,1,out_of_sample,3,6.6786318413092124e-06,50.142785911790035,22061,-2.844252404033963e-05,-2.844252404033963e-05
return_5m,1,out_of_sample,4,1.686259116558715e-05,49.049049049049046,21978,-2.844252404033963e-05,-2.844252404033963e-05
return_5m,1,out_of_sample,5,1.412339415101709e-05,47.861771058315334,13890,-2.844252404033963e-05,-2.844252404033963e-05
return_5m,3,in_sample,1,0.00011056536618999832,54.40489611853761,18627,-4.932728146618468e-05,-4.932728146618468e-05
return_5m,3,in_sample,2,-2.343608096606971e-05,52.50979760562624,18627,-4.932728146618468e-05,-4.932728146618468e-05
return_5m,3,in_sample,3,-1.9054312367011913e-06,50.08321254093521,18627,-4.932728146618468e-05,-4.932728146618468e-05
return_5m,3,in_sample,4,-5.7364262204146716e-05,47.24861759811027,18627,-4.932728146618468e-05,-4.932728146618468e-05
return_5m,3,in_sample,5,6.123808472381364e-05,48.00021474204112,18627,-4.932728146618468e-05,-4.932728146618468e-05
return_5m,3,out_of_sample,1,0.00013071932030348898,53.73741859088218,13512,-9.015337438781569e-05,-9.015337438781569e-05
return_5m,3,out_of_sample,2,1.481082932138396e-05,52.09696746243894,21698,-9.015337438781569e-05,-9.015337438781569e-05
return_5m,3,out_of_sample,3,4.605368591226356e-05,50.55757026291931,22060,-9.015337438781569e-05,-9.015337438781569e-05
return_5m,3,out_of_sample,4,2.399717180628252e-05,48.66906311143468,21977,-9.015337438781569e-05,-9.015337438781569e-05
return_5m,3,out_of_sample,5,4.05659459156733e-05,48.45932325413967,13890,-9.015337438781569e-05,-9.015337438781569e-05
return_5m,6,in_sample,1,0.0002042962448194414,54.65721801685724,18627,-5.317622784844846e-05,-5.317622784844846e-05
return_5m,6,in_sample,2,-7.402745194877466e-05,52.08568207440811,18627,-5.317622784844846e-05,-5.317622784844846e-05
return_5m,6,in_sample,3,1.1283166065344393e-05,49.578568744295914,18627,-5.317622784844846e-05,-5.317622784844846e-05
return_5m,6,in_sample,4,-0.00011991149278275911,47.08219251623987,18627,-5.317622784844846e-05,-5.317622784844846e-05
return_5m,6,in_sample,5,0.00015112001697099295,47.994846191013046,18627,-5.317622784844846e-05,-5.317622784844846e-05
return_5m,6,out_of_sample,1,0.00018345822060200615,53.796625222024865,13512,-9.182752988683951e-05,-9.182752988683951e-05
return_5m,6,out_of_sample,2,3.224913986128087e-05,52.06009770485759,21698,-9.182752988683951e-05,-9.182752988683951e-05
return_5m,6,out_of_sample,3,0.0001123406668702816,51.55031731640979,22060,-9.182752988683951e-05,-9.182752988683951e-05
return_5m,6,out_of_sample,4,6.462553862292794e-05,49.13079093474106,21974,-9.182752988683951e-05,-9.182752988683951e-05
return_5m,6,out_of_sample,5,9.163069071516664e-05,49.07127429805615,13890,-9.182752988683951e-05,-9.182752988683951e-05
return_5m,12,in_sample,1,0.00030602451712806054,53.7875127503087,18627,-0.0001164902808925824,-0.0001164902808925824
return_5m,12,in_sample,2,-6.740666681813224e-05,51.854834380200785,18627,-0.0001164902808925824,-0.0001164902808925824
return_5m,12,in_sample,3,-6.01179393810264e-05,49.51951468298706,18627,-0.0001164902808925824,-0.0001164902808925824
return_5m,12,in_sample,4,-3.133237986311417e-05,47.796209802974175,18627,-0.0001164902808925824,-0.0001164902808925824
return_5m,12,in_sample,5,0.00018953423623547814,48.1720083749396,18627,-0.0001164902808925824,-0.0001164902808925824
return_5m,12,out_of_sample,1,0.0002989163807742725,53.91503848431024,13512,-7.310706006482344e-06,-7.310706006482344e-06
return_5m,12,out_of_sample,2,0.00012585637419191943,52.88966725043783,21698,-7.310706006482344e-06,-7.310706006482344e-06
return_5m,12,out_of_sample,3,0.0002040098117993152,51.58467467694401,22055,-7.310706006482344e-06,-7.310706006482344e-06
return_5m,12,out_of_sample,4,6.108967069807112e-05,49.415191371228325,21973,-7.310706006482344e-06,-7.310706006482344e-06
return_5m,12,out_of_sample,5,0.00029160567476779016,49.70482361411087,13890,-7.310706006482344e-06,-7.310706006482344e-06
return_10m,1,in_sample,1,4.859820511326453e-05,52.716632664018036,18626,-1.946755786664404e-05,-1.946755786664404e-05
return_10m,1,in_sample,2,-2.7143885450204342e-05,51.777085794051324,18626,-1.946755786664404e-05,-1.946755786664404e-05
return_10m,1,in_sample,3,5.4978860912836535e-06,49.76913991195104,18626,-1.946755786664404e-05,-1.946755786664404e-05
return_10m,1,in_sample,4,-2.533192984455474e-05,47.90615268978847,18626,-1.946755786664404e-05,-1.946755786664404e-05
return_10m,1,in_sample,5,2.9130647246620494e-05,47.57328465585741,18626,-1.946755786664404e-05,-1.946755786664404e-05
return_10m,1,out_of_sample,1,2.6247893295642953e-05,52.7136431784108,13340,-1.1192019815076936e-05,-1.1192019815076936e-05
return_10m,1,out_of_sample,2,9.997386200786221e-06,51.995174461766894,21552,-1.1192019815076936e-05,-1.1192019815076936e-05
return_10m,1,out_of_sample,3,1.3379585970994115e-05,50.078153732990074,21752,-1.1192019815076936e-05,-1.1192019815076936e-05
return_10m,1,out_of_sample,4,1.497698306342844e-05,48.65864527629233,22440,-1.1192019815076936e-05,-1.1192019815076936e-05
return_10m,1,out_of_sample,5,1.5055873480566017e-05,48.20348630380648,14055,-1.1192019815076936e-05,-1.1192019815076936e-05
return_10m,3,in_sample,1,8.208462077765028e-05,54.4561365832707,18626,1.9215396671882e-05,1.9215396671882e-05
return_10m,3,in_sample,2,-2.4244589629799782e-05,52.781058735101475,18626,1.9215396671882e-05,1.9215396671882e-05
return_10m,3,in_sample,3,-1.5503130456064016e-05,49.54901750241598,18626,1.9215396671882e-05,1.9215396671882e-05
return_10m,3,in_sample,4,-5.394027090617027e-05,47.712874476538175,18626,1.9215396671882e-05,1.9215396671882e-05
return_10m,3,in_sample,5,0.00010130001744953228,47.76119402985074,18626,1.9215396671882e-05,1.9215396671882e-05
return_10m,3,out_of_sample,1,4.602361385290766e-05,53.07346326836581,13340,-1.2196004747800809e-05,-1.2196004747800809e-05
return_10m,3,out_of_sample,2,3.2161190120890865e-05,52.927802524127685,21552,-1.2196004747800809e-05,-1.2196004747800809e-05
return_10m,3,out_of_sample,3,5.62170105009971e-05,50.48043768102616,21751,-1.2196004747800809e-05,-1.2196004747800809e-05
return_10m,3,out_of_sample,4,5.299343801744047e-05,48.79450955924952,22439,-1.2196004747800809e-05,-1.2196004747800809e-05
return_10m,3,out_of_sample,5,3.3827609105106854e-05,47.876200640341516,14055,-1.2196004747800809e-05,-1.2196004747800809e-05
return_10m,6,in_sample,1,0.00021455393832751435,55.030602383764624,18626,-8.132992497084991e-05,-8.132992497084991e-05
return_10m,6,in_sample,2,1.8583268524546666e-06,53.13540212606035,18626,-8.132992497084991e-05,-8.132992497084991e-05
return_10m,6,in_sample,3,-5.153392195115516e-05,49.45774723504778,18626,-8.132992497084991e-05,-8.132992497084991e-05
return_10m,6,in_sample,4,-0.00012480293518877497,46.52099216149468,18626,-8.132992497084991e-05,-8.132992497084991e-05
return_10m,6,in_sample,5,0.00013322401335666445,47.2565231396972,18626,-8.132992497084991e-05,-8.132992497084991e-05
return_10m,6,out_of_sample,1,6.738705719965422e-05,53.77811094452773,13340,8.55464873975499e-06,8.55464873975499e-06
return_10m,6,out_of_sample,2,0.0001038891712078544,53.00668151447662,21552,8.55464873975499e-06,8.55464873975499e-06
return_10m,6,out_of_sample,3,9.04258028908181e-05,50.9034898156237,21749,8.55464873975499e-06,8.55464873975499e-06
return_10m,6,out_of_sample,4,9.705419731753323e-05,49.282467243069796,22438,8.55464873975499e-06,8.55464873975499e-06
return_10m,6,out_of_sample,5,7.594170593940921e-05,48.53788687299893,14055,8.55464873975499e-06,8.55464873975499e-06
return_10m,12,in_sample,1,0.0004129266325879379,54.858799527542146,18626,-0.0004381423243982741,-0.0004381423243982741
return_10m,12,in_sample,2,0.0001405229405319415,53.52195855256093,18626,-0.0004381423243982741,-0.0004381423243982741
return_10m,12,in_sample,3,-0.00014659384903427443,49.033608933748525,18626,-0.0004381423243982741,-0.0004381423243982741
return_10m,12,in_sample,4,-4.354138712741855e-05,46.80017180285622,18626,-0.0004381423243982741,-0.0004381423243982741
return_10m,12,in_sample,5,-2.521569181033621e-05,46.92902394502308,18626,-0.0004381423243982741,-0.0004381423243982741
return_10m,12,out_of_sample,1,0.0001519200826318722,54.02548725637182,13340,0.00011522998024517139,0.00011522998024517139
return_10m,12,out_of_sample,2,0.00018530263706681514,53.733005428982416,21551,0.00011522998024517139,0.00011522998024517139
return_10m,12,out_of_sample,3,0.00017677222645206365,51.23712288447388,21744,0.00011522998024517139,0.00011522998024517139
return_10m,12,out_of_sample,4,0.00013563382836254695,49.2468134414832,22438,0.00011522998024517139,0.00011522998024517139
return_10m,12,out_of_sample,5,0.0002671500628770436,49.24937744574884,14055,0.00011522998024517139,0.00011522998024517139
return_15m,1,in_sample,1,7.914445665114822e-05,52.72483221476511,18625,-0.0001048177829794878,-0.0001048177829794878
return_15m,1,in_sample,2,6.651194513234158e-06,52.26308724832215,18625,-0.0001048177829794878,-0.0001048177829794878
return_15m,1,in_sample,3,-7.05492625192181e-06,49.82013422818792,18625,-0.0001048177829794878,-0.0001048177829794878
return_15m,1,in_sample,4,-2.2450727357396478e-05,47.68322147651007,18625,-0.0001048177829794878,-0.0001048177829794878
return_15m,1,in_sample,5,-2.5673326328339574e-05,47.24832214765101,18625,-0.0001048177829794878,-0.0001048177829794878
return_15m,1,out_of_sample,1,1.4533287550075176e-05,52.68645357686454,13140,1.6090556461492462e-06,1.6090556461492462e-06
