factor,horizon,period,ic,rank_ic,spread_qhigh_qlow,sample_count,split
return_1m,1,2021-01,-0.02529430659162327,-0.048912612206303004,-0.0011362275016778725,2975,train
return_1m,1,2021-02,-0.08891502954785827,-0.08360277906035546,-0.0014542087630622545,2688,train
return_1m,1,2021-03,-0.0227569144249869,-0.05380462014488837,-0.0003532043891103521,2976,train
return_1m,1,2021-04,-0.06073533898454568,-0.07270697370599123,-0.00052567981609407,2880,train
return_1m,1,2021-05,-0.10635259592523624,-0.10227076239058042,-0.001974859883050394,2976,train
return_1m,1,2021-06,-0.03193174835282739,-0.06079213213639711,-0.0005354735100853761,2880,train
return_1m,1,2021-07,-0.0020744495875232687,-0.05167581802948839,-0.00025986543032497543,2976,train
return_1m,1,2021-08,-0.034504662736617134,-0.03574831456090622,-0.00031263178191587716,2976,train
return_1m,1,2021-09,-0.0726198482006545,-0.044991320347622536,-0.00021192906980197436,2880,train
return_1m,1,2021-10,-0.007926661080000147,-0.05973862593245604,-0.00025954173391674526,2976,train
return_1m,1,2021-11,-0.013505867607273183,-0.009758076906275347,7.933081837319111e-05,2880,train
return_1m,1,2021-12,-0.0028674896548534588,-0.026174392216171086,0.0001410448435893811,2976,train
return_1m,1,2022-01,0.0041019059190586585,0.004088606760441236,0.00014536467425246705,2976,train
return_1m,1,2022-02,-0.006319013648710133,-0.05763605332844209,-0.00047284515139687025,2688,train
return_1m,1,2022-03,-0.0034655731668960803,-0.04286657517367758,-5.254767070599127e-05,2976,train
return_1m,1,2022-04,-0.023048591326629866,-0.04375015396936334,-5.08298764309954e-05,2880,train
return_1m,1,2022-05,-0.028026096786606863,-0.02086152833994176,-0.0005417209898295251,2976,train
return_1m,1,2022-06,-0.015385311756977393,-0.0647768778465243,-0.0007149038175726022,2880,train
return_1m,1,2022-07,-0.004652031968956138,-0.052220341278304064,-5.1368271425105306e-06,2976,train
return_1m,1,2022-08,0.017760874651852068,-0.036797138081027594,0.0001282263573506499,2976,train
return_1m,1,2022-09,-0.06307274221370442,-0.029063891493031468,-0.0003803666104237671,2880,train
return_1m,1,2022-10,-0.007225829820771888,-0.02281701224673236,-9.294300984643051e-05,2976,train
