factor,horizon,period,ic,rank_ic,spread_qhigh_qlow,sample_count,split
return_1m,1,2021,-0.050263589403078485,-0.055864352737070314,-0.0005349518712552347,35039,train
return_1m,1,2022,-0.011350438415184507,-0.03641589095341929,-9.23302380093268e-05,35040,train
return_1m,1,2023,-0.019795525433035754,-0.06316303517251202,-0.00012910151009141676,35040,mixed
return_1m,1,2024,0.004371434196211078,-0.024378518062073383,6.187653250730176e-05,35136,test
return_1m,1,2025,-0.012454635117999756,-0.027500706944737944,-8.02601552232837e-05,35040,test
return_1m,1,2026,-0.007567658841667192,-0.03870906490414712,-0.00011718820274693329,10983,test
return_1m,3,2021,-0.03495036689756527,-0.02375223567418705,-0.0003538780261276853,35039,train
return_1m,3,2022,-0.0033246158547626734,-0.02895776435541198,-5.154015257034241e-05,35040,train
return_1m,3,2023,-0.013425382380394885,-0.039088836341104195,-5.1348209399889284e-05,35040,mixed
return_1m,3,2024,-0.007111057064533862,-0.03204888081748878,-4.623715985787894e-05,35136,test
return_1m,3,2025,-0.014555214176745317,-0.017265354751206947,-0.00010215956736338693,35040,test
return_1m,3,2026,-0.015835215109009287,-0.016135284300842788,-2.2743759322542434e-06,10981,test
return_1m,6,2021,-0.023998110334320505,-0.008234673558556845,-0.00028023673476152723,35039,train
return_1m,6,2022,-0.008830855572590151,-0.030210417961102867,-0.00017855856290979825,35040,train
return_1m,6,2023,-0.013376078308503972,-0.03521373867980329,-0.00011102278239705376,35040,mixed
return_1m,6,2024,-0.014609083613774424,-0.028089083332548042,-0.00012130856001933026,35136,test
return_1m,6,2025,-0.00173237049138561,-0.017527134379390536,-0.00010263669036926251,35040,test
return_1m,6,2026,-0.020817022679934866,-0.03082528762760871,-0.00015269098060769542,10978,test
return_1m,12,2021,-0.01653050035808523,-0.0048752328398049515,-0.00013725965110351603,35039,train
return_1m,12,2022,-0.010489932038097146,-0.01784066007589517,-0.0001770450277192578,35040,train
return_1m,12,2023,0.0022389499717841038,-0.022786166412877725,7.353475716582428e-06,35040,mixed
return_1m,12,2024,-0.00926797627632347,-0.012755899661963617,6.776870745345135e-05,35136,test
return_1m,12,2025,-0.0027051404558364007,-0.012271881510890958,-0.00017058854805107775,35040,test
return_1m,12,2026,-0.002580808685237121,-0.011686201603775112,-0.00012193110108100444,10972,test
return_3m,1,2021,-0.03440445524652788,-0.04184925720062237,-0.0002665338926704522,35037,train
return_3m,1,2022,-0.003168730235516306,-0.04474121625470854,-3.012830461724648e-05,35040,train
return_3m,1,2023,-0.013609198945271473,-0.04518650826591316,-3.3823862452909915e-05,35040,mixed
return_3m,1,2024,-0.00701932772231677,-0.037701263391425786,-5.405658729204932e-05,35136,test
return_3m,1,2025,-0.014500676611251557,-0.019483084460569098,-8.098364068871051e-06,35040,test
return_3m,1,2026,-0.015773976993929913,-0.02749395905721893,6.292004046084122e-05,10983,test
