factor,requires_ticks,side,group,orientation,directional,best_horizon,best_rank_ic,oriented_rank_ic,abs_rank_ic,ic_ir,ic_t_stat,raw_ic_ir,raw_ic_t_stat,oriented_ic_ir,oriented_ic_t_stat,avg_abs_rank_ic,sample_count,oos_best_horizon,oos_best_rank_ic,oos_oriented_rank_ic,oos_abs_rank_ic,oos_ic_ir,oos_ic_t_stat,oos_raw_ic_ir,oos_raw_ic_t_stat,oos_oriented_ic_ir,oos_oriented_ic_t_stat,oos_sample_count,rank_score
breakout_high_20,False,Long,Momentum & Trend Factors,1,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8058,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4502,0.0
breakout_low_20,False,Short,Momentum & Trend Factors,-1,True,1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7344,1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3947,-0.0
return_1m,False,Long/Short,Momentum & Trend Factors,0,False,12,-0.012706256449373671,-0.012706256449373671,0.012706256449373671,-1.2002505765192222,-6.789642574238441,-1.2002505765192222,-6.789642574238441,-1.2002505765192222,-6.789642574238441,0.026068327248964206,186278,12,-0.01305974157881806,-0.01305974157881806,0.01305974157881806,-0.8208191347325952,-4.715246940948531,-0.8208191347325952,-4.715246940948531,-0.8208191347325952,-4.715246940948531,93139,-1000000000.0
return_3m,False,Long/Short,Momentum & Trend Factors,0,False,12,-0.019506286848239008,-0.019506286848239008,0.019506286848239008,-1.0251435306023582,-5.799087537427572,-1.0251435306023582,-5.799087537427572,-1.0251435306023582,-5.799087537427572,0.02931935277082745,186276,12,-0.02020362066088321,-0.02020362066088321,0.02020362066088321,-0.5097371817384799,-2.928217173766438,-0.5097371817384799,-2.928217173766438,-0.5097371817384799,-2.928217173766438,93139,-1000000000.0
return_5m,False,Long/Short,Momentum & Trend Factors,0,False,12,-0.02771120048050431,-0.02771120048050431,0.02771120048050431,-1.1712406083113398,-6.625537412304044,-1.1712406083113398,-6.625537412304044,-1.1712406083113398,-6.625537412304044,0.034190372764923864,186274,12,-0.024865934146035988,-0.024865934146035988,0.024865934146035988,-0.5867733230679539,-3.3707561136811592,-0.5867733230679539,-3.3707561136811592,-0.5867733230679539,-3.3707561136811592,93139,-1000000000.0
return_10m,False,Long/Short,Momentum & Trend Factors,0,False,1,-0.03272644763728585,-0.03272644763728585,0.03272644763728585,-2.1665292956384645,-12.255740452682183,-2.1665292956384645,-12.255740452682183,-2.1665292956384645,-12.255740452682183,0.037485980690683665,186269,1,-0.02689407073166736,-0.02689407073166736,0.02689407073166736,-1.804305545820012,-10.36494624145905,-1.804305545820012,-10.36494624145905,-1.804305545820012,-10.36494624145905,93139,-1000000000.0
return_15m,False,Long/Short,Momentum & Trend Factors,0,False,1,-0.03162030451535395,-0.03162030451535395,0.03162030451535395,-2.4574415963761287,-13.901388937339643,-2.4574415963761287,-13.901388937339643,-2.4574415963761287,-13.901388937339643,0.03917038634144488,186264,1,-0.022427747366181035,-0.022427747366181035,0.022427747366181035,-1.4988432922534094,-8.610199189693017,-1.4988432922534094,-8.610199189693017,-1.4988432922534094,-8.610199189693017,93139,-1000000000.0
log_return_1m,False,Long/Short,Momentum & Trend Factors,0,False,12,-0.012706257137944252,-0.012706257137944252,0.012706257137944252,-1.2002505765192222,-6.789642574238441,-1.2002505765192222,-6.789642574238441,-1.2002505765192222,-6.789642574238441,0.026068327394117755,186278,12,-0.01305974225144623,-0.01305974225144623,0.01305974225144623,-0.8208192331461261,-4.715247506291226,-0.8208192331461261,-4.715247506291226,-0.8208192331461261,-4.715247506291226,93139,-1000000000.0
normalized_return_5m,False,Long/Short,Momentum & Trend Factors,0,False,12,-0.021706604277101766,-0.021706604277101766,0.021706604277101766,-0.8494265662483654,-4.805082280913787,-0.8494265662483654,-4.805082280913787,-0.8494265662483654,-4.805082280913787,0.0313110398948288,186274,12,-0.021297427380172828,-0.021297427380172828,0.021297427380172828,-0.5929651541922745,-3.4063254754716024,-0.5929651541922745,-3.4063254754716024,-0.5929651541922745,-3.4063254754716024,93139,-1000000000.0
ma_5_1m,False,Long/Short,Momentum & Trend Factors,0,False,1,-0.0029405962784199275,-0.0029405962784199275,0.0029405962784199275,-1.6818056051866859,-9.51372918452041,-1.6818056051866859,-9.51372918452041,-1.6818056051866859,-9.51372918452041,0.004358466793415135,186275,1,-0.00982214197854418,-0.00982214197854418,0.00982214197854418,-1.7759048124507806,-10.201796449411878,-1.7759048124507806,-10.201796449411878,-1.7759048124507806,-10.201796449411878,93139,-1000000000.0
ma_20_1m,False,Long/Short,Momentum & Trend Factors,0,False,1,-0.0026829414811917617,-0.0026829414811917617,0.0026829414811917617,-1.4774835741906658,-8.357909235215658,-1.4774835741906658,-8.357909235215658,-1.4774835741906658,-8.357909235215658,0.003994856203593831,186260,1,-0.009505042584470123,-0.009505042584470123,0.009505042584470123,-1.4801255668395181,-8.502674043452222,-1.4801255668395181,-8.502674043452222,-1.4801255668395181,-8.502674043452222,93139,-1000000000.0
ma_60_1m,False,Long/Short,Momentum & Trend Factors,0,False,1,-0.0025605632360766128,-0.0025605632360766128,0.0025605632360766128,-1.296626918604154,-7.334829494512119,-1.296626918604154,-7.334829494512119,-1.296626918604154,-7.334829494512119,0.003699170867298355,186220,1,-0.0093120129453595,-0.0093120129453595,0.0093120129453595,-1.3441907835048976,-7.721788164742921,-1.3441907835048976,-7.721788164742921,-1.3441907835048976,-7.721788164742921,93139,-1000000000.0
price_ma_gap_20,False,Long/Short,Momentum & Trend Factors,0,False,1,-0.038785969527901816,-0.038785969527901816,0.038785969527901816,-2.9758159945378946,-16.833757354409084,-2.9758159945378946,-16.833757354409084,-2.9758159945378946,-16.833757354409084,0.0439965182016895,186260,12,-0.028841839547976585,-0.028841839547976585,0.028841839547976585,-0.6083536193754202,-3.4947254777502526,-0.6083536193754202,-3.4947254777502526,-0.6083536193754202,-3.4947254777502526,93139,-1000000000.0
ma_slope_20,False,Long/Short,Momentum & Trend Factors,0,False,1,-0.02904778742827134,-0.02904778742827134,0.02904778742827134,-2.578317031394307,-14.585163655581464,-2.578317031394307,-14.585163655581464,-2.578317031394307,-14.585163655581464,0.039620075349757006,186259,1,-0.020502221207358375,-0.020502221207358375,0.020502221207358375,-1.4216972069321465,-8.167028669629856,-1.4216972069321465,-8.167028669629856,-1.4216972069321465,-8.167028669629856,93139,-1000000000.0
ma_slope_60,False,Long/Short,Momentum & Trend Factors,0,False,1,-0.01296791136378784,-0.01296791136378784,0.01296791136378784,-1.3174994526370827,-7.452902377353967,-1.3174994526370827,-7.452902377353967,-1.3174994526370827,-7.452902377353967,0.02199891059810581,186219,1,-0.011205554512192071,-0.011205554512192071,0.011205554512192071,-1.0767584789951579,-6.185506537778687,-1.0767584789951579,-6.185506537778687,-1.0767584789951579,-6.185506537778687,93139,-1000000000.0
ema_cross_5_20,False,Long/Short,Momentum & Trend Factors,0,False,1,-0.028684527906928024,-0.028684527906928024,0.028684527906928024,-2.5872602132067417,-14.63575393162112,-2.5872602132067417,-14.63575393162112,-2.5872602132067417,-14.63575393162112,0.03949761896517901,186279,1,-0.0214616376219231,-0.0214616376219231,0.0214616376219231,-1.5972722088321445,-9.175630267210426,-1.5972722088321445,-9.175630267210426,-1.5972722088321445,-9.175630267210426,93139,-1000000000.0
trend_strength_ma,False,Long/Short,Momentum & Trend Factors,0,False,12,0.005061867954655027,0.005061867954655027,0.005061867954655027,0.3359689612594165,1.9005274461978712,0.3359689612594165,1.9005274461978712,0.3359689612594165,1.9005274461978712,0.0034816234915638422,186259,3,-0.0017660262557824432,-0.0017660262557824432,0.0017660262557824432,-0.07868179440524942,-0.4519924971029806,-0.07868179440524942,-0.4519924971029806,-0.07868179440524942,-0.4519924971029806,93139,-1000000000.0
distance_to_high_20,False,Long/Short,Momentum & Trend Factors,0,False,1,-0.02973687687975652,-0.02973687687975652,0.02973687687975652,-1.9126882924807493,-10.819798895274053,-1.9126882924807493,-10.819798895274053,-1.9126882924807493,-10.819798895274053,0.03634623841451924,186260,1,-0.02812101779072361,-0.02812101779072361,0.02812101779072361,-1.2643091395329902,-7.262903056637851,-1.2643091395329902,-7.262903056637851,-1.2643091395329902,-7.262903056637851,93139,-1000000000.0
distance_to_low_20,False,Long/Short,Momentum & Trend Factors,0,False,12,-0.01335027295827389,-0.01335027295827389,0.01335027295827389,-1.003573157894015,-5.677067082909247,-1.003573157894015,-5.677067082909247,-1.003573157894015,-5.677067082909247,0.02039104928926831,186260,12,0.0002359316002697569,0.0002359316002697569,0.0002359316002697569,-0.1481713073864957,-0.8511793577011675,-0.1481713073864957,-0.8511793577011675,-0.1481713073864957,-0.8511793577011675,93139,-1000000000.0
donchian_position_20,False,Long/Short,Momentum & Trend Factors,0,False,1,-0.03796314031377211,-0.03796314031377211,0.03796314031377211,-3.0258119525527944,-17.116577201963114,-3.0258119525527944,-17.116577201963114,-3.0258119525527944,-17.116577201963114,0.04014212854132005,186260,12,-0.02663341781589655,-0.02663341781589655,0.02663341781589655,-0.5239603690195824,-3.0099231641361746,-0.5239603690195824,-3.0099231641361746,-0.5239603690195824,-3.0099231641361746,93139,-1000000000.0
breakout_volume_confirm,False,Long/Short,Momentum & Trend Factors,0,False,12,-0.01390765246401975,-0.01390765246401975,0.01390765246401975,-1.0104154117563393,-5.715772715746441,-1.0104154117563393,-5.715772715746441,-1.0104154117563393,-5.715772715746441,0.01769170895451361,186259,12,-0.00992557240507843,-0.00992557240507843,0.00992557240507843,-0.3280986341907842,-1.8847831583525239,-0.3280986341907842,-1.8847831583525239,-0.3280986341907842,-1.8847831583525239,93139,-1000000000.0
