factor,horizon,ic,rank_ic,oriented_rank_ic,abs_rank_ic,ic_period_mean,ic_period_std,ic_ir,ic_t_stat,oriented_ic_period_mean,oriented_ic_period_std,oriented_ic_ir,oriented_ic_t_stat,ic_periods,sample_count,oos_ic,oos_rank_ic,oos_oriented_rank_ic,oos_abs_rank_ic,oos_ic_period_mean,oos_ic_ir,oos_ic_t_stat,oos_oriented_ic_period_mean,oos_oriented_ic_period_std,oos_oriented_ic_ir,oos_oriented_ic_t_stat,oos_ic_periods,oos_sample_count
sweep_pin_bar_long,1,-0.014923125313814144,-0.010744323544910736,-0.010744323544910736,0.010744323544910736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1132,-0.03841839740859595,-0.03602185647900133,-0.03602185647900133,0.03602185647900133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,541
sweep_pin_bar_long,3,-0.026007464120610085,-0.0268243405942473,-0.0268243405942473,0.0268243405942473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1132,-0.03646159539748813,-0.038360317059732515,-0.038360317059732515,0.038360317059732515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,541
sweep_pin_bar_long,6,-0.018698516701442947,0.000184338464878685,0.000184338464878685,0.000184338464878685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1132,-0.005801326969769544,-0.027780695551872334,-0.027780695551872334,0.027780695551872334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,541
sweep_pin_bar_long,12,-0.0015536573423683968,-0.00523966554601129,-0.00523966554601129,0.00523966554601129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1132,-0.005623396203427402,-0.008290495104581358,-0.008290495104581358,0.008290495104581358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,541
sweep_pin_bar_short,1,-0.041526922154273414,-0.014663382572434656,0.014663382572434656,0.014663382572434656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,980,-0.09907335942981348,-0.08900421465081321,0.08900421465081321,0.08900421465081321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,429
sweep_pin_bar_short,3,-0.028650516629023303,-0.02310226036793253,0.02310226036793253,0.02310226036793253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,980,-0.07079091827742028,-0.10267211597357218,0.10267211597357218,0.10267211597357218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,429
sweep_pin_bar_short,6,-0.017592889696840402,-0.014358598534014909,0.014358598534014909,0.014358598534014909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,980,-0.0426936285378213,-0.03592636444190455,0.03592636444190455,0.03592636444190455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,429
sweep_pin_bar_short,12,0.011791036576415562,0.012117170433691557,-0.012117170433691557,0.012117170433691557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,980,0.019123004031310877,-0.007411888263876962,0.007411888263876962,0.007411888263876962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,429
ma_trend_alignment_crossover,1,0.03457794948505425,0.06328502499264349,0.06328502499264349,0.06328502499264349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,821,0.024665911833643896,0.1145497856868599,0.1145497856868599,0.1145497856868599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,413
ma_trend_alignment_crossover,3,0.0492141081187485,0.0513456734894527,0.0513456734894527,0.0513456734894527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,821,0.08825416239975833,0.1184856453975227,0.1184856453975227,0.1184856453975227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,413
ma_trend_alignment_crossover,6,-0.03543454975516391,0.016630175014642562,0.016630175014642562,0.016630175014642562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,821,-0.017916959620457973,0.1090644527051221,0.1090644527051221,0.1090644527051221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,413
ma_trend_alignment_crossover,12,-0.04397812320242324,0.04143633050616095,0.04143633050616095,0.04143633050616095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,821,0.00829273922169444,0.12065364741170166,0.12065364741170166,0.12065364741170166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,413
