factor,horizon,rank_ic,oriented_rank_ic,oos_rank_ic,oos_oriented_rank_ic
adx_15m,1,-0.0008807674724489718,-0.0008807674724489718,-0.003967858185067421,-0.003967858185067421
chop_index_15m,1,0.003044818871156898,0.003044818871156898,0.0010851075291540481,0.0010851075291540481
range_position_15m,1,0.04224330763187913,0.04224330763187913,0.030926634243331832,0.030926634243331832
hh_hl_structure_15m,1,-0.018886142209806646,-0.018886142209806646,-0.0019988937821153814,-0.0019988937821153814
ll_lh_structure_15m,1,-0.0025126730766974127,0.0025126730766974127,-0.001489978600005157,0.001489978600005157
volume_zscore_15m_20,1,-0.0016868825547998458,-0.0016868825547998458,-0.000307349706858354,-0.000307349706858354
volatility_zscore_15m_20,1,-0.0008504011981974216,-0.0008504011981974216,0.0007586456541769992,0.0007586456541769992
session_asia_flag,1,0.0056811850810210285,0.0056811850810210285,0.0035969022624521003,0.0035969022624521003
session_london_flag,1,-0.004127257555580804,-0.004127257555580804,-0.00416945129535317,-0.00416945129535317
session_us_flag,1,-0.004569113503130596,-0.004569113503130596,0.002916114719051753,0.002916114719051753
weekend_flag,1,0.0017831637286784613,0.0017831637286784613,-0.0008280414086060612,-0.0008280414086060612
