factor,horizon,sample,quantile,mean_return,win_rate,sample_count,spread_qhigh_qlow,oriented_spread
adx_15m,1,in_sample,1,1.8485152070230174e-05,49.94898781077163,18623,2.3943543780710514e-06,2.3943543780710514e-06
adx_15m,1,in_sample,2,-3.48086405060687e-06,49.728829941470224,18623,2.3943543780710514e-06,2.3943543780710514e-06
adx_15m,1,in_sample,3,1.0571084633057812e-05,50.1100789346507,18623,2.3943543780710514e-06,2.3943543780710514e-06
adx_15m,1,in_sample,4,-1.5626998217603522e-05,50.42689147827954,18623,2.3943543780710514e-06,2.3943543780710514e-06
adx_15m,1,in_sample,5,2.0879506448301226e-05,49.51670067661905,18622,2.3943543780710514e-06,2.3943543780710514e-06
adx_15m,1,out_of_sample,1,8.74563705886719e-06,50.00498902414687,20044,8.753342183320227e-06,8.753342183320227e-06
adx_15m,1,out_of_sample,2,9.140362584633267e-07,50.118700766159485,18534,8.753342183320227e-06,8.753342183320227e-06
adx_15m,1,out_of_sample,3,2.0129843585604735e-05,50.11175217007121,19239,8.753342183320227e-06,8.753342183320227e-06
adx_15m,1,out_of_sample,4,2.8710705945663307e-05,50.50981668293741,18438,8.753342183320227e-06,8.753342183320227e-06
adx_15m,1,out_of_sample,5,1.7498979242187417e-05,50.69296375266524,16884,8.753342183320227e-06,8.753342183320227e-06
adx_15m,3,in_sample,1,5.354140858061744e-05,50.23358212962465,18623,-5.9223583079151014e-05,-5.9223583079151014e-05
adx_15m,3,in_sample,2,4.622106356253189e-06,50.13155775116791,18623,-5.9223583079151014e-05,-5.9223583079151014e-05
adx_15m,3,in_sample,3,2.8666991284054414e-05,50.92090425817537,18623,-5.9223583079151014e-05,-5.9223583079151014e-05
adx_15m,3,in_sample,4,9.644694632558433e-06,50.5396552649949,18623,-5.9223583079151014e-05,-5.9223583079151014e-05
adx_15m,3,in_sample,5,-5.682174498533576e-06,50.440339383524865,18622,-5.9223583079151014e-05,-5.9223583079151014e-05
adx_15m,3,out_of_sample,1,-2.4471001740386474e-06,50.48897315637162,20042,5.560567648559335e-05,5.560567648559335e-05
adx_15m,3,out_of_sample,2,3.407517523079675e-05,50.12409625553038,18534,5.560567648559335e-05,5.560567648559335e-05
adx_15m,3,out_of_sample,3,5.849131773073754e-05,50.66271635739903,19239,5.560567648559335e-05,5.560567648559335e-05
adx_15m,3,out_of_sample,4,8.618546453143432e-05,50.938279639874175,18438,5.560567648559335e-05,5.560567648559335e-05
adx_15m,3,out_of_sample,5,5.315857631155471e-05,50.91802890310353,16884,5.560567648559335e-05,5.560567648559335e-05
adx_15m,6,in_sample,1,0.00017756136368514124,50.09396982226279,18623,-0.00022973743031809847,-0.00022973743031809847
adx_15m,6,in_sample,2,2.3349947665760636e-05,49.59458733823766,18623,-0.00022973743031809847,-0.00022973743031809847
adx_15m,6,in_sample,3,3.258807061068639e-06,50.23358212962465,18623,-0.00022973743031809847,-0.00022973743031809847
adx_15m,6,in_sample,4,2.366446284039588e-05,50.45910970305536,18623,-0.00022973743031809847,-0.00022973743031809847
adx_15m,6,in_sample,5,-5.217606663295723e-05,51.04177854151004,18622,-0.00022973743031809847,-0.00022973743031809847
adx_15m,6,out_of_sample,1,-2.5299159094536864e-05,50.37676530765008,20039,0.00018184170600683478,0.00018184170600683478
adx_15m,6,out_of_sample,2,9.739500017970692e-05,50.94421063990504,18534,0.00018184170600683478,0.00018184170600683478
adx_15m,6,out_of_sample,3,7.216444965559539e-05,50.891418472893605,19239,0.00018184170600683478,0.00018184170600683478
adx_15m,6,out_of_sample,4,0.0001637981891284398,51.43724915934483,18438,0.00018184170600683478,0.00018184170600683478
adx_15m,6,out_of_sample,5,0.0001565425469122979,51.747216299455104,16884,0.00018184170600683478,0.00018184170600683478
adx_15m,12,in_sample,1,0.0004094176052221961,50.5342855608656,18623,-0.0005814700376137364,-0.0005814700376137364
adx_15m,12,in_sample,2,6.012418400148293e-05,49.916769585995816,18623,-0.0005814700376137364,-0.0005814700376137364
adx_15m,12,in_sample,3,-1.6572183286339116e-05,49.293883906996726,18623,-0.0005814700376137364,-0.0005814700376137364
adx_15m,12,in_sample,4,6.07607922758961e-05,50.99071041185631,18623,-0.0005814700376137364,-0.0005814700376137364
adx_15m,12,in_sample,5,-0.0001720524323915403,50.440339383524865,18622,-0.0005814700376137364,-0.0005814700376137364
adx_15m,12,out_of_sample,1,-3.9111467943233424e-07,49.99251235461489,20033,0.0004040298503930694,0.0004040298503930694
adx_15m,12,out_of_sample,2,0.00010499973656929444,51.10607532103162,18534,0.0004040298503930694,0.0004040298503930694
adx_15m,12,out_of_sample,3,0.00012591686135561623,51.9777535214928,19239,0.0004040298503930694,0.0004040298503930694
adx_15m,12,out_of_sample,4,0.00029754699390570957,51.44809632281159,18438,0.0004040298503930694,0.0004040298503930694
adx_15m,12,out_of_sample,5,0.0004036387357136371,52.87254205164653,16884,0.0004040298503930694,0.0004040298503930694
chop_index_15m,1,in_sample,1,2.874979964259917e-05,49.75840223343713,18626,-6.672780779049724e-05,-6.672780779049724e-05
chop_index_15m,1,in_sample,2,6.42362900913451e-05,50.67647374637604,18626,-6.672780779049724e-05,-6.672780779049724e-05
chop_index_15m,1,in_sample,3,-1.6810287657502622e-05,49.6751677852349,18625,-6.672780779049724e-05,-6.672780779049724e-05
chop_index_15m,1,in_sample,4,-7.574223030694655e-06,49.64832214765101,18625,-6.672780779049724e-05,-6.672780779049724e-05
chop_index_15m,1,in_sample,5,-3.797800814789807e-05,49.981208053691276,18625,-6.672780779049724e-05,-6.672780779049724e-05
chop_index_15m,1,out_of_sample,1,7.446329740037876e-06,50.18672199170125,19280,3.0290420706187487e-05,3.0290420706187487e-05
chop_index_15m,1,out_of_sample,2,-1.233171176410454e-05,49.71816888795238,18983,3.0290420706187487e-05,3.0290420706187487e-05
chop_index_15m,1,out_of_sample,3,2.965884369391843e-05,50.50608930987821,18475,3.0290420706187487e-05,3.0290420706187487e-05
chop_index_15m,1,out_of_sample,4,1.3644963425892777e-05,50.499633037881786,17713,3.0290420706187487e-05,3.0290420706187487e-05
chop_index_15m,1,out_of_sample,5,3.7736750446225363e-05,50.48694349315068,18688,3.0290420706187487e-05,3.0290420706187487e-05
chop_index_15m,3,in_sample,1,8.159705558060183e-05,51.020079458821,18626,-0.00016576349049481567,-0.00016576349049481567
chop_index_15m,3,in_sample,2,9.159503412667885e-05,51.020079458821,18626,-0.00016576349049481567,-0.00016576349049481567
chop_index_15m,3,in_sample,3,1.617423588313544e-06,50.21208053691275,18625,-0.00016576349049481567,-0.00016576349049481567
chop_index_15m,3,in_sample,4,-1.2146715684379613e-06,49.91140939597315,18625,-0.00016576349049481567,-0.00016576349049481567
chop_index_15m,3,in_sample,5,-8.416643491421383e-05,50.08859060402685,18625,-0.00016576349049481567,-0.00016576349049481567
chop_index_15m,3,out_of_sample,1,1.1891011035742712e-05,50.33195020746888,19280,9.274642948900459e-05,9.274642948900459e-05
chop_index_15m,3,out_of_sample,2,7.035448315401544e-06,50.43725634811928,18982,9.274642948900459e-05,9.274642948900459e-05
chop_index_15m,3,out_of_sample,3,3.4831651254105046e-05,51.04194857916104,18475,9.274642948900459e-05,9.274642948900459e-05
chop_index_15m,3,out_of_sample,4,6.959412585805665e-05,50.50248419150858,17712,9.274642948900459e-05,9.274642948900459e-05
chop_index_15m,3,out_of_sample,5,0.0001046374405247473,50.79195205479452,18688,9.274642948900459e-05,9.274642948900459e-05
chop_index_15m,6,in_sample,1,0.00012844863901662765,50.77311285300118,18626,-0.00015134160313104677,-0.00015134160313104677
chop_index_15m,6,in_sample,2,9.614303119049306e-05,51.14356276173091,18626,-0.00015134160313104677,-0.00015134160313104677
chop_index_15m,6,in_sample,3,4.513288144721711e-06,49.91677852348994,18625,-0.00015134160313104677,-0.00015134160313104677
chop_index_15m,6,in_sample,4,-3.2943011826458845e-05,49.669798657718125,18625,-0.00015134160313104677,-0.00015134160313104677
chop_index_15m,6,in_sample,5,-2.2892964114419142e-05,49.90067114093959,18625,-0.00015134160313104677,-0.00015134160313104677
chop_index_15m,6,out_of_sample,1,8.029755974255812e-05,51.01141078838174,19280,0.00010834530209981228,0.00010834530209981228
chop_index_15m,6,out_of_sample,2,4.0853304439745586e-05,50.84817195237593,18982,0.00010834530209981228,0.00010834530209981228
chop_index_15m,6,out_of_sample,3,8.009383566646647e-05,50.93369418132612,18475,0.00010834530209981228,0.00010834530209981228
chop_index_15m,6,out_of_sample,4,5.7653764278994684e-05,50.855497204811115,17709,0.00010834530209981228,0.00010834530209981228
chop_index_15m,6,out_of_sample,5,0.0001886428618423704,51.6160102739726,18688,0.00010834530209981228,0.00010834530209981228
chop_index_15m,12,in_sample,1,0.00010033929308296271,50.50467089015355,18626,5.9631253783393415e-05,5.9631253783393415e-05
chop_index_15m,12,in_sample,2,-2.6614779692009462e-05,50.32213035541716,18626,5.9631253783393415e-05,5.9631253783393415e-05
chop_index_15m,12,in_sample,3,7.283120492035172e-05,50.07785234899329,18625,5.9631253783393415e-05,5.9631253783393415e-05
chop_index_15m,12,in_sample,4,3.196202982226818e-05,49.55167785234899,18625,5.9631253783393415e-05,5.9631253783393415e-05
chop_index_15m,12,in_sample,5,0.00015997054686635613,50.69530201342282,18625,5.9631253783393415e-05,5.9631253783393415e-05
chop_index_15m,12,out_of_sample,1,0.00013656125330154353,51.01141078838174,19280,0.00021631529742433236,0.00021631529742433236
chop_index_15m,12,out_of_sample,2,0.00020893029934358697,51.5831621094779,18981,0.00021631529742433236,0.00021631529742433236
chop_index_15m,12,out_of_sample,3,0.00013105212401824434,50.83094245655821,18473,0.00021631529742433236,0.00021631529742433236
chop_index_15m,12,out_of_sample,4,5.923096094918145e-05,51.17172059404822,17709,0.00021631529742433236,0.00021631529742433236
chop_index_15m,12,out_of_sample,5,0.0003528765507258759,52.56622959593257,18685,0.00021631529742433236,0.00021631529742433236
range_position_15m,1,in_sample,1,8.224902660913124e-05,54.15302013422819,18625,-6.496775202999102e-05,-6.496775202999102e-05
range_position_15m,1,in_sample,2,-3.755481118726629e-05,51.675257731958766,18624,-6.496775202999102e-05,-6.496775202999102e-05
range_position_15m,1,in_sample,3,1.3972557015074821e-05,50.016108247422686,18624,-6.496775202999102e-05,-6.496775202999102e-05
range_position_15m,1,in_sample,4,-4.504962797579007e-05,47.519329896907216,18624,-6.496775202999102e-05,-6.496775202999102e-05
range_position_15m,1,in_sample,5,1.7281274579140233e-05,46.37564432989691,18624,-6.496775202999102e-05,-6.496775202999102e-05
range_position_15m,1,out_of_sample,1,1.7946075213975995e-05,52.98373415826764,20042,7.723817374969921e-07,7.723817374969921e-07
range_position_15m,1,out_of_sample,2,2.39461288702885e-05,51.851191537410116,16827,7.723817374969921e-07,7.723817374969921e-07
range_position_15m,1,out_of_sample,3,1.8920272617167527e-05,50.4022077388292,17031,7.723817374969921e-07,7.723817374969921e-07
range_position_15m,1,out_of_sample,4,-3.990398068155191e-06,48.88098495212038,18275,7.723817374969921e-07,7.723817374969921e-07
range_position_15m,1,out_of_sample,5,1.8718456951472987e-05,47.52909750047701,20964,7.723817374969921e-07,7.723817374969921e-07
range_position_15m,3,in_sample,1,0.00013481972030695712,55.28053691275168,18625,-1.919636003718233e-05,-1.919636003718233e-05
range_position_15m,3,in_sample,2,-6.0267954383440554e-05,52.74377147766322,18624,-1.919636003718233e-05,-1.919636003718233e-05
range_position_15m,3,in_sample,3,1.295284750589709e-05,50.17719072164949,18624,-1.919636003718233e-05,-1.919636003718233e-05
range_position_15m,3,in_sample,4,-0.00011303302158507395,47.21327319587629,18624,-1.919636003718233e-05,-1.919636003718233e-05
range_position_15m,3,in_sample,5,0.00011562336026977479,46.8481529209622,18624,-1.919636003718233e-05,-1.919636003718233e-05
range_position_15m,3,out_of_sample,1,1.9284142820452442e-05,53.253168346472414,20042,8.88970889416742e-06,8.88970889416742e-06
range_position_15m,3,out_of_sample,2,2.8540249666715732e-05,52.30284661555833,16827,8.88970889416742e-06,8.88970889416742e-06
range_position_15m,3,out_of_sample,3,7.840777285080317e-05,50.97175738359462,17031,8.88970889416742e-06,8.88970889416742e-06
range_position_15m,3,out_of_sample,4,7.670598505368838e-05,49.68808142716428,18274,8.88970889416742e-06,8.88970889416742e-06
range_position_15m,3,out_of_sample,5,2.8173851714619862e-05,47.273768067547586,20963,8.88970889416742e-06,8.88970889416742e-06
range_position_15m,6,in_sample,1,0.0002010120807167785,55.323489932885906,18625,-4.159397655082434e-05,-4.159397655082434e-05
range_position_15m,6,in_sample,2,3.901290756379814e-05,53.31829896907217,18624,-4.159397655082434e-05,-4.159397655082434e-05
