factor,horizon,period,ic,rank_ic,spread_qhigh_qlow,sample_count,split
adx_15m,1,2021-01,0.012790188196215762,0.00676595811488327,0.00024682330918993425,2950,train
adx_15m,1,2021-02,0.003677549230663271,0.01803404004488092,1.6098555281246786e-05,2688,train
adx_15m,1,2021-03,0.010293383105928604,0.015832049970452993,0.00012369489660268097,2976,train
adx_15m,1,2021-04,0.002567057704183115,0.019808751363420057,5.418770076297938e-05,2880,train
adx_15m,1,2021-05,0.003870720908078512,-0.008294843916306756,-0.00017779265120345837,2976,train
adx_15m,1,2021-06,0.014510887308928166,0.006561657350540607,0.00018608004026403682,2880,train
adx_15m,1,2021-07,-0.008970661216164183,-0.005455416620037983,-0.00012005107383808526,2976,train
adx_15m,1,2021-08,0.027276574429514783,0.01577023649187914,0.00017918477131711414,2976,train
adx_15m,1,2021-09,-0.0009027435625349798,0.012994035694046871,8.991910007201013e-05,2880,train
adx_15m,1,2021-10,0.0030343413008971,-0.01333483789562939,9.723125033854048e-05,2976,train
adx_15m,1,2021-11,-0.012081984164998989,0.005012908409638842,-0.0002560209893868016,2880,train
adx_15m,1,2021-12,-0.03699050290778969,-0.026941669816474056,-0.00023963102649203865,2976,train
adx_15m,1,2022-01,-0.01812340303057685,-0.024405219541195608,-0.00010825460512946596,2976,train
adx_15m,1,2022-02,-0.0047152194565952335,-0.0021097867652392814,-2.821216228262154e-05,2688,train
adx_15m,1,2022-03,-0.0041014226437535925,-0.002154133169866904,-0.0001543994565633789,2976,train
adx_15m,1,2022-04,-0.013133346969807199,0.012775404221571689,2.6917746311676954e-05,2880,train
adx_15m,1,2022-05,0.003915248079446524,-0.004356080734706757,-0.0001863194980158882,2976,train
adx_15m,1,2022-06,-0.002113835659246976,-0.014271100293101404,-1.0514391121926555e-05,2880,train
adx_15m,1,2022-07,-0.009669593744029528,-0.02597072040723375,-1.2855169054861633e-05,2976,train
adx_15m,1,2022-08,-0.029170912996235726,-0.0035420399822976606,-0.000246062742879019,2976,train
adx_15m,1,2022-09,0.0033105643191296023,0.004001787348213153,1.428523668532803e-06,2880,train
adx_15m,1,2022-10,0.021199924264032995,0.025749056776619414,0.00019435356888863162,2976,train
adx_15m,1,2022-11,-0.0064029916349500095,-0.020942853025093456,-0.000220846661202745,2880,train
adx_15m,1,2022-12,0.005233443951972276,0.005914002623582732,5.478155814923198e-05,2976,train
adx_15m,1,2023-01,0.03559313644164575,0.0317798604523816,0.0002102389445564474,2976,train
