factor,horizon,period,ic,rank_ic,spread_qhigh_qlow,sample_count,split
adx_15m,1,2021,0.0017663064356201257,0.003814223939063145,1.3050410850923885e-05,35014,train
adx_15m,1,2022,-0.004870194321497943,-0.004128799500633129,-4.3858562284648156e-05,35040,train
adx_15m,1,2023,0.009936540645114669,0.00839345777207469,5.141233070584815e-05,35040,mixed
adx_15m,1,2024,0.007355675662188025,0.004330778221907406,-5.2517734735881645e-06,35136,test
adx_15m,1,2025,-0.004140478331896398,-0.0012482624905104359,-7.137839769517735e-06,35040,test
adx_15m,1,2026,0.0012192401753455115,0.006504274417456803,2.074775378965943e-05,10983,test
adx_15m,3,2021,0.000681885549059677,0.00907639918555364,-6.800193155189435e-05,35014,train
adx_15m,3,2022,-0.009634023502766435,-0.007193945686509429,-0.00017391992334981146,35040,train
adx_15m,3,2023,0.015823547534831058,0.01178514675161809,0.00014897680173210962,35040,mixed
adx_15m,3,2024,0.013445840932792266,0.010927458846025133,8.18912064299497e-05,35136,test
adx_15m,3,2025,-0.006653657873802769,0.00402599262151691,-3.8429129893870576e-05,35040,test
adx_15m,3,2026,0.0016389337293259332,0.005998035736251037,7.464463843670069e-06,10981,test
adx_15m,6,2021,-0.0033922811688621665,0.00723165313087721,-0.00032595072175290195,35014,train
adx_15m,6,2022,-0.01518397482039223,-0.008492011471654487,-0.0004530729530244473,35040,train
adx_15m,6,2023,0.018443853877811195,0.012420332000854186,0.0003268898255327842,35040,mixed
adx_15m,6,2024,0.02024606598748995,0.016233674795092575,0.00031601507010848955,35136,test
adx_15m,6,2025,-0.007002892375484872,0.0073064452467978104,-5.559541367439628e-05,35040,test
adx_15m,6,2026,0.0009997950427755075,0.004634259528701404,-5.0441099365143e-06,10978,test
adx_15m,12,2021,-0.010601603789696825,-0.0016125150243377104,-0.0007538433684128464,35014,train
adx_15m,12,2022,-0.022727482501637423,-0.013432122755366298,-0.0009948232041151858,35040,train
adx_15m,12,2023,0.013281338656417577,0.0050794964204803825,0.0004079202712311867,35040,mixed
adx_15m,12,2024,0.02904334098514314,0.02522494360596077,0.000857056470781529,35136,test
adx_15m,12,2025,-0.003691990273798034,0.017640856219592972,-6.242288810998797e-05,35040,test
adx_15m,12,2026,4.9722787125568645e-05,0.010045815752624417,-0.00023818742599530717,10972,test
chop_index_15m,1,2021,-0.006927705320931068,-0.006454009912127188,-8.858846555361729e-05,35027,train
chop_index_15m,1,2022,-0.009482997041403818,-0.006107644890001344,-8.075960635045296e-05,35040,train
chop_index_15m,1,2023,-0.007310545807681189,-0.0016366332407492196,-3.984121348588166e-05,35040,mixed
chop_index_15m,1,2024,0.003303467416344997,0.00582422920350411,5.040491144438169e-05,35136,test
chop_index_15m,1,2025,0.009230335763197522,0.008510435949716165,2.5389568011066815e-05,35040,test
chop_index_15m,1,2026,-0.008033723093480995,-0.0035464040599900767,-2.7379485209892792e-05,10983,test
chop_index_15m,3,2021,-0.005299306908543806,-0.003597715814493964,-0.00013207564586219188,35027,train
chop_index_15m,3,2022,-0.008876190032730411,-0.013459203648097343,-0.0001840461499103036,35040,train
chop_index_15m,3,2023,-0.015016391362170724,-0.00716582405771376,-0.00013624745062590512,35040,mixed
chop_index_15m,3,2024,0.0043679623903250375,0.0023981530856347637,8.983980434312618e-05,35136,test
chop_index_15m,3,2025,0.015379965229096019,0.009851557602019565,0.0001340504895431251,35040,test
chop_index_15m,3,2026,-0.019313265659912874,-0.014120485305799126,-0.00013792570953970835,10981,test
chop_index_15m,6,2021,-0.0016787807900772002,0.0028228184722051126,-0.00014482240840458328,35027,train
chop_index_15m,6,2022,-0.005004321684447317,-0.01119933669100713,-8.029335738542667e-05,35040,train
chop_index_15m,6,2023,-0.022530076273864746,-0.011451389333593593,-0.0002735859665725864,35040,mixed
chop_index_15m,6,2024,0.003537501312157307,0.006304741870680295,0.00012483399788019712,35136,test
chop_index_15m,6,2025,0.01499076863739664,0.007936896456418641,0.0001176489765830377,35040,test
chop_index_15m,6,2026,-0.02600699663047815,-0.01934109243868664,-0.00033624503480403605,10978,test
chop_index_15m,12,2021,0.003469013970664638,0.009498639214518061,0.0003998808609663034,35027,train
chop_index_15m,12,2022,0.0017746331721482979,-0.003846738901943055,-9.106618631793623e-06,35040,train
chop_index_15m,12,2023,-0.016414361172609485,-0.006587403963593743,-0.0003290245106413703,35040,mixed
chop_index_15m,12,2024,0.007164573839194574,0.011420868026028364,0.0003737320167609975,35136,test
chop_index_15m,12,2025,0.01261042341770464,0.007722970136714483,0.00022317059167048736,35040,test
chop_index_15m,12,2026,-0.03638882512014537,-0.028816381084165576,-0.0007270620513089475,10972,test
range_position_15m,1,2021,-0.012536192555267417,-0.04384668930090889,-0.00015856436332541265,35021,train
range_position_15m,1,2022,-0.00457194406647219,-0.04495891701731337,-3.77146851603956e-05,35040,train
range_position_15m,1,2023,0.0033273218475933617,-0.04425914782672143,1.4468762771841259e-05,35040,mixed
range_position_15m,1,2024,0.0007396560402232197,-0.031878005399782326,-7.557109181700175e-06,35136,test
range_position_15m,1,2025,-0.0007932669624519973,-0.019136096730159785,4.753078171855607e-05,35040,test
range_position_15m,1,2026,-0.0060182715108396375,-0.0438644237025855,-0.00013127950376426038,10983,test
range_position_15m,3,2021,-0.00923790271987301,-0.04294664993786197,-0.00020279196344391977,35021,train
range_position_15m,3,2022,-0.006924796748402085,-0.05823185048186914,-8.623392390946685e-05,35040,train
range_position_15m,3,2023,0.01815420314520989,-0.04685586509010906,0.00027743349212281916,35040,mixed
range_position_15m,3,2024,-0.0029906934995379483,-0.04329371464978335,-0.00013725823853263886,35136,test
range_position_15m,3,2025,0.006141394720687758,-0.01582990714292904,9.11626781688059e-05,35040,test
range_position_15m,3,2026,-0.005737155445015127,-0.041729769723344794,-0.00016548644295099336,10981,test
range_position_15m,6,2021,-0.014707084671117397,-0.04546825024005592,-0.0003720827318952116,35021,train
range_position_15m,6,2022,-0.008576004432988067,-0.059567471999480336,-0.00015177669950722136,35040,train
range_position_15m,6,2023,0.0224580407979566,-0.05093557276458427,0.00048510386389724396,35040,mixed
range_position_15m,6,2024,-0.006934625661006091,-0.04032971953779869,-0.000258826065143688,35136,test
