factor_a,factor_b,pearson,spearman,pearson_is,spearman_is,pearson_oos,spearman_oos,sample_count,is_sample_count,oos_sample_count
atr_14_1m,range_mean_20,0.9850248191405339,0.9913860476953639,0.9876249191111828,0.9937188791645003,0.9815655737052946,0.9869533399584819,186262,93121,93141
realized_vol_15m,bb_width_20,0.8446465430180111,0.8758007160516087,0.846184902795026,0.8852320897266696,0.8202717069312668,0.8473454459426032,186262,93121,93141
atr_14_1m,high_low_range_1m,0.7186166577343505,0.8511697157672515,0.7357480646429345,0.8804257600964784,0.6890195250478517,0.7971589730330289,186268,93127,93141
range_mean_20,high_low_range_1m,0.6766096958370011,0.8315543375982666,0.6980447371331352,0.8637342659590332,0.6405642404832553,0.7708406430569791,186262,93121,93141
realized_vol_5m,realized_vol_15m,0.8075170689372454,0.8158163735273435,0.8084414961381615,0.818910292028085,0.777916804079885,0.7916865611485118,186267,93126,93141
realized_vol_15m,realized_vol_1h,0.8002594317436369,0.7918268437284156,0.8120849400574707,0.8141603331264398,0.7232043666546348,0.7343629506506715,186222,93081,93141
range_compression_count,true_range_spike,-0.45732079018671723,-0.77028591170072,-0.45154087896033995,-0.7621720373062401,-0.46281636984083524,-0.7774736770366815,186262,93121,93141
realized_vol_1h,bb_width_20,0.6811037826659551,0.7107599601090077,0.6902962948587363,0.7298594931355386,0.6073124855851098,0.6536947934744674,186222,93081,93141
realized_vol_5m,bb_width_20,0.663956709830324,0.7075302871299592,0.668628509052063,0.7203653159404244,0.6113632957591967,0.6625554224442757,186262,93121,93141
bb_width_percentile_100,atr_percentile_100,0.703563445035142,0.7040949085680905,0.694172120759303,0.6937916802491517,0.7127133090452524,0.7139103649933629,186182,93041,93141
realized_vol_15m,range_mean_20,0.6660315395488675,0.6649169710043856,0.7945007405073413,0.8144952071335113,0.7691328351239296,0.7545069218599796,186262,93121,93141
realized_vol_5m,realized_vol_1h,0.65132689233819,0.6522293393830408,0.666999254545553,0.6865900086090613,0.5504141805287058,0.5738808752596705,186222,93081,93141
realized_vol_15m,atr_14_1m,0.6586580237246057,0.6485207358435982,0.7891746092500029,0.8059781811494904,0.7593810929029163,0.738200421958772,186267,93126,93141
range_mean_20,bb_width_20,0.6115474025572647,0.6378285497261587,0.715724196032911,0.7606930664186073,0.6915291682500797,0.7043740461296476,186262,93121,93141
bb_width_20,bb_width_percentile_100,0.5304678769378679,0.6331679042301684,0.5316683448971256,0.6081052463889243,0.5887043718216125,0.6932835601901507,186182,93041,93141
atr_14_1m,bb_width_20,0.5926066500827664,0.6144290147776102,0.6986605389371677,0.7434525059892934,0.6686692482268561,0.6804468605372718,186262,93121,93141
realized_vol_1h,atr_14_1m,0.6139145667603152,0.6059331481032988,0.7830607304084792,0.807579757010582,0.7031689759405202,0.6838310847843421,186222,93081,93141
realized_vol_5m,high_low_range_1m,0.569651828892086,0.6051202125281828,0.6522590950469477,0.7281462507763429,0.6390749884950241,0.6397620136738598,186277,93136,93141
realized_vol_1h,range_mean_20,0.5901886846921138,0.5921089739852955,0.7617933299575734,0.7925915203031086,0.666014391077996,0.6531789248841579,186222,93081,93141
realized_vol_15m,high_low_range_1m,0.4990176917820025,0.5794869698593359,0.6003019501322425,0.7260269338008141,0.5588968956646861,0.6186094087119617,186267,93126,93141
realized_vol_5m,atr_14_1m,0.5634122031871742,0.5655943479324095,0.6788834206853224,0.707465847861081,0.6237166232194826,0.612111176638752,186268,93127,93141
realized_vol_5m,range_mean_20,0.5324153833405695,0.556682575702549,0.6481793327023766,0.6938130753453318,0.5841575925502464,0.5967710413702587,186262,93121,93141
bb_width_20,high_low_range_1m,0.42906429747811725,0.5411388829721923,0.5168351141428129,0.662873973728597,0.4613822287218136,0.5618897884093094,186262,93121,93141
realized_vol_5m,vol_compression_ratio,0.4654201342214551,0.5158370184101343,0.4652389216965295,0.5151602686304281,0.5214557189691185,0.547545832767693,186262,93121,93141
vol_compression_ratio,range_compression_count,-0.44830324873259425,-0.5066017984586709,-0.4433745310576587,-0.4945720616686398,-0.4546688539757366,-0.5190831839845172,186262,93121,93141
bb_width_20,atr_percentile_100,0.4267412093352227,0.5060937606516758,0.42117990407615824,0.4760844506754503,0.49104718945525566,0.5654412685226035,186182,93041,93141
realized_vol_15m,atr_percentile_100,0.4028342223449319,0.49023711941926545,0.3782742099281062,0.4389973902968714,0.5147187461269636,0.5838363213463114,186182,93041,93141
realized_vol_1h,high_low_range_1m,0.39459933052642615,0.4776229932303677,0.532672933395476,0.6772432247573945,0.4153447507803516,0.4754343947776948,186222,93081,93141
true_range_spike,high_low_range_1m,0.49614862839343726,0.465061119608339,0.4622538709516902,0.43513168974252564,0.5397626556962869,0.5303573326821043,186262,93121,93141
realized_vol_5m,atr_percentile_100,0.37327791985252035,0.44914572866798563,0.35250858875818203,0.40357725371312797,0.460541671409765,0.5224204491130392,186182,93041,93141
