factor,horizon,rank_ic,oriented_rank_ic,oos_rank_ic,oos_oriented_rank_ic
realized_vol_5m,1,-0.005135610000420601,-0.005135610000420601,-0.008059896476464148,-0.008059896476464148
realized_vol_15m,1,0.004405693188666424,0.004405693188666424,0.0011608239336322256,0.0011608239336322256
realized_vol_1h,1,0.0029572217887009387,0.0029572217887009387,0.004058640599724178,0.004058640599724178
atr_14_1m,1,0.006425821144083321,0.006425821144083321,0.002490836151022434,0.002490836151022434
range_mean_20,1,0.0013663739260032974,0.0013663739260032974,-0.00225335751501943,-0.00225335751501943
bb_width_20,1,0.002951385581630537,0.002951385581630537,-0.003692449787235619,-0.003692449787235619
bb_width_percentile_100,1,-0.0008550733083748733,-0.0008550733083748733,0.003184728447720258,0.003184728447720258
atr_percentile_100,1,-0.004429167001134121,-0.004429167001134121,0.007073760742045684,0.007073760742045684
vol_compression_ratio,1,0.0008440084588615375,0.0008440084588615375,-0.0030130182496433122,-0.0030130182496433122
range_compression_count,1,0.0069857762651320465,0.0069857762651320465,0.002207243076653498,0.002207243076653498
vol_expansion_flag,1,-5.9876589993299496e-05,-5.9876589993299496e-05,-0.0010803836872132263,-0.0010803836872132263
true_range_spike,1,0.004570909806846329,0.004570909806846329,0.0026960011870145613,0.0026960011870145613
high_low_range_1m,1,0.0029136199239152933,0.0029136199239152933,0.008763342787290487,0.008763342787290487
