factor,horizon,period,ic,rank_ic,spread_qhigh_qlow,sample_count,split
realized_vol_5m,1,2021-01,0.022094137608968813,0.010306812986380698,0.0005193910570752479,2972,train
realized_vol_5m,1,2021-02,0.024650961100275932,-0.0043388993040587446,-0.00021897928479887045,2688,train
realized_vol_5m,1,2021-03,0.019777874401839354,0.028088639826857557,0.00011387111185548373,2976,train
realized_vol_5m,1,2021-04,0.06949286924804483,0.042752933837239646,0.0005517971119845714,2880,train
realized_vol_5m,1,2021-05,0.02392688012852273,-0.00553391033616086,0.00035435144400535574,2976,train
realized_vol_5m,1,2021-06,0.021036142154720612,0.01949153177543866,0.00030022476153661424,2880,train
realized_vol_5m,1,2021-07,-0.004803567389722958,0.013678695334148047,0.00015369231152806856,2976,train
realized_vol_5m,1,2021-08,0.021589788572939098,0.008865421925919261,0.00011759171216458229,2976,train
realized_vol_5m,1,2021-09,0.00886252267178215,0.003875390288474588,-8.83927760827903e-06,2880,train
realized_vol_5m,1,2021-10,0.025265860796398545,0.018553633791115458,9.47341300949222e-05,2976,train
realized_vol_5m,1,2021-11,0.0005472519767643041,-0.013603777480843798,-7.278237870103313e-05,2880,train
realized_vol_5m,1,2021-12,0.014570983384573757,0.012399424320531682,0.00012227429018684842,2976,train
realized_vol_5m,1,2022-01,0.02035782082517123,0.014439389981181284,0.0003049709749500573,2976,train
realized_vol_5m,1,2022-02,0.03487497161159256,0.03159330920839527,0.0004837356162272038,2688,train
realized_vol_5m,1,2022-03,-0.03876015466842751,0.003958923181909147,8.000521691786238e-05,2976,train
realized_vol_5m,1,2022-04,-0.002764803565361291,-0.004287916158844059,-6.083425290254032e-05,2880,train
realized_vol_5m,1,2022-05,0.04275251214636573,0.009370428114984439,0.00017917455454927888,2976,train
realized_vol_5m,1,2022-06,0.019577184598573535,-0.03523678549022459,-6.729350823872706e-05,2880,train
realized_vol_5m,1,2022-07,0.030245935114941634,0.038397323598387004,0.00039863813850983564,2976,train
realized_vol_5m,1,2022-08,-0.010660391294754889,-0.01338776604796335,-0.0001333322925422912,2976,train
realized_vol_5m,1,2022-09,-0.017997898757583508,0.0069193628739428175,-8.579772342923965e-05,2880,train
realized_vol_5m,1,2022-10,0.0392892733098036,0.014970220152182101,0.00015456564641401664,2976,train
realized_vol_5m,1,2022-11,-0.052424532782553636,-0.01911737467093725,-0.00026740133723525715,2880,train
realized_vol_5m,1,2022-12,-0.03754393564133043,-0.024283492459006354,-0.00016912739245268622,2976,train
realized_vol_5m,1,2023-01,0.022060238476349116,0.03723986481817632,8.072464420413345e-05,2976,train
realized_vol_5m,1,2023-02,0.0032558843616790553,0.0044636106975894626,9.091970970757136e-05,2688,train
realized_vol_5m,1,2023-03,0.01774233014764677,0.022822216899116024,0.00016912574329144503,2976,train
realized_vol_5m,1,2023-04,-0.01741412041155181,0.028195461077609923,5.2569320538255265e-05,2880,train
realized_vol_5m,1,2023-05,0.042237794300506615,0.02622504189893936,8.805431895939565e-05,2976,train
realized_vol_5m,1,2023-06,-0.004938905900960853,0.02746916736986334,4.536448795045155e-05,2880,train
realized_vol_5m,1,2023-07,-0.009790734578375154,-7.343300536639606e-05,-5.0121149666360946e-05,2976,train
realized_vol_5m,1,2023-08,0.05916676357030873,-0.03230431490835055,9.43246559938772e-05,2976,mixed
realized_vol_5m,1,2023-09,-0.023808124624437578,-0.007815713236273131,-0.00012301921532550247,2880,test
realized_vol_5m,1,2023-10,0.010323173374784677,0.023293175448431853,0.00014578567393175074,2976,test
realized_vol_5m,1,2023-11,-0.016862665472674458,0.0020609319222832036,-2.7492718246003475e-05,2880,test
realized_vol_5m,1,2023-12,0.008185336431782275,0.0003782694067796029,-5.040988887047543e-05,2976,test
