factor_a,factor_b,pearson,spearman,pearson_is,spearman_is,pearson_oos,spearman_oos,sample_count,is_sample_count,oos_sample_count
volume_zscore_20,sell_volume_zscore_20,0.9673412807499125,0.9542369475515877,0.9738234597351856,0.9625251919816676,0.9611067003736544,0.9461822519604545,186262,93121,93141
volume_zscore_20,buy_volume_zscore_20,0.9672496170559289,0.9539309976824584,0.9736406216177632,0.9618133396898446,0.9610998575465501,0.9462674193489702,186262,93121,93141
volume_zscore_20,volume_ratio_20,0.9147887667365223,0.94165293587336,0.9140419341739198,0.9398164236552011,0.9163944983199885,0.9437290677827596,186262,93121,93141
volume_ratio_20,buy_volume_zscore_20,0.8926742977750516,0.907870022161671,0.8966960074179122,0.9123998628869151,0.8900137633954279,0.9042380776608288,186262,93121,93141
volume_ratio_20,sell_volume_zscore_20,0.8930354282824373,0.9063124173717152,0.8960436870072801,0.9103241025065196,0.8912729790773065,0.9032170864990288,186262,93121,93141
buy_volume_zscore_20,sell_volume_zscore_20,0.8766239037213703,0.8337549564365744,0.8994773915874508,0.8605432326084765,0.8545831634269387,0.8075658303164958,186262,93121,93141
volume_1m,volume_ma_20,0.5749457183536485,0.7489939870279586,0.5461041378602882,0.6950252440029967,0.5203488910948755,0.7030930990864659,186262,93121,93141
volume_1m,volume_zscore_20,0.5148363465161345,0.5378863193743536,0.5625230856547521,0.5893073741310877,0.5269662185644639,0.581594261040337,186262,93121,93141
volume_1m,volume_ratio_20,0.5966614758176625,0.5313734353803249,0.6547523267289458,0.5830204506652098,0.6282298553174303,0.5573699638623265,186262,93121,93141
volume_1m,buy_volume_zscore_20,0.5076573869273778,0.5186578217808037,0.556292382608587,0.5729476652931204,0.5167095067145643,0.5563452067523348,186262,93121,93141
volume_1m,sell_volume_zscore_20,0.5065258276210222,0.5171812803539497,0.5537683729718454,0.5711974259667344,0.518227940002967,0.5542313808413337,186262,93121,93141
volume_zscore_20,volume_change_1m,0.5384968705823746,0.46641773371829465,0.5737438521442617,0.4700206574298049,0.5110704245055977,0.4630631158729674,186256,93115,93141
volume_ratio_20,volume_change_1m,0.5887329377617048,0.4475129720510929,0.6281546252061014,0.45007056930287853,0.5581978914651536,0.4455869162569277,186256,93115,93141
volume_change_1m,sell_volume_zscore_20,0.5213312852992373,0.44425626895467135,0.5598360150311952,0.4519144100826548,0.49107585345335925,0.43693468269643165,186256,93115,93141
volume_change_1m,buy_volume_zscore_20,0.52041467389212,0.4428071762320235,0.5577731835338803,0.45055124266050045,0.4911331554903726,0.4354160697690444,186256,93115,93141
volume_1m,amihud_illiquidity_1m,-0.23312729139460345,-0.3434213586652398,-0.17900186930465495,-0.22667674768938054,-0.23367885780716796,-0.32807124411349686,186275,93134,93141
volume_ma_20,amihud_illiquidity_1m,-0.2606345323926028,-0.3152213527609636,-0.20198697311101732,-0.22716563698014688,-0.21960112817717486,-0.24625646739621762,186256,93115,93141
volume_1m,volume_change_1m,0.32923385489215273,0.25941896421329946,0.387845277910204,0.28888312288197066,0.32170133490350883,0.2796942940937991,186274,93133,93141
sell_volume_zscore_20,amihud_illiquidity_1m,-0.14419370249649333,-0.13785039432974353,-0.09161028261105228,-0.0977980954111542,-0.19204686517645064,-0.19236124465445717,186256,93115,93141
volume_zscore_20,amihud_illiquidity_1m,-0.14496525858110654,-0.13391619439338542,-0.08959323284606628,-0.0934565992188569,-0.1942498730408501,-0.18774777900887055,186256,93115,93141
buy_volume_zscore_20,amihud_illiquidity_1m,-0.13880119650437042,-0.13218732487083626,-0.08652073557722591,-0.09483919582037605,-0.18580029210470758,-0.18352713810328308,186256,93115,93141
volume_ratio_20,amihud_illiquidity_1m,-0.13855102026271987,-0.12298708501194529,-0.09234775937983121,-0.06951637874663281,-0.1807109103703621,-0.18099085595239375,186256,93115,93141
volume_ma_20,volume_ratio_20,-0.052673161275242235,-0.10992805042159087,-0.05544780450134475,-0.12516698256421174,-0.059177362458563885,-0.14323213090167267,186262,93121,93141
volume_ma_20,sell_volume_zscore_20,-0.05780708459623473,-0.057036349479037435,-0.06340234300863246,-0.06214444357235069,-0.06678623147867241,-0.07102045916718065,186262,93121,93141
volume_ma_20,buy_volume_zscore_20,-0.05661034286953067,-0.056397234511417434,-0.06171706195811387,-0.06256097409341008,-0.06675267815282619,-0.0694288561290987,186262,93121,93141
volume_ma_20,volume_zscore_20,-0.05726343308817867,-0.054901763494858945,-0.06310584471247134,-0.06219245363648491,-0.06695474643377308,-0.06825078882651965,186262,93121,93141
volume_ma_20,volume_change_1m,-0.024350614751171167,-0.041076652508856656,-0.02421474251967475,-0.04423337155009635,-0.02364680929542325,-0.048031181889116106,186256,93115,93141
volume_change_1m,amihud_illiquidity_1m,-0.017491084620150376,0.039792217369973466,0.0006592911966589717,0.06749798122850297,-0.033513460481789825,0.011983157220468204,186271,93130,93141
