factor,horizon,ic,rank_ic,oriented_rank_ic,abs_rank_ic,ic_period_mean,ic_period_std,ic_ir,ic_t_stat,oriented_ic_period_mean,oriented_ic_period_std,oriented_ic_ir,oriented_ic_t_stat,ic_periods,sample_count,oos_ic,oos_rank_ic,oos_oriented_rank_ic,oos_abs_rank_ic,oos_ic_period_mean,oos_ic_ir,oos_ic_t_stat,oos_oriented_ic_period_mean,oos_oriented_ic_period_std,oos_oriented_ic_ir,oos_oriented_ic_t_stat,oos_ic_periods,oos_sample_count
volume_1m,1,0.01129892257861321,0.004761007555221786,0.004761007555221786,0.004761007555221786,0.006367846974305348,0.018677460529370676,0.34093751472753925,1.9286338289978515,0.006367846974305348,0.018677460529370676,0.34093751472753925,1.9286338289978515,32,186279,0.006595820792541562,0.006759457399399375,0.006759457399399375,0.006759457399399375,0.003125710858533086,0.19181944867196013,1.101918839720461,0.003125710858533086,0.016295067471904363,0.19181944867196013,1.101918839720461,33,93139
volume_1m,3,0.01234711897048124,0.009076680098118243,0.009076680098118243,0.009076680098118243,0.011873392970489014,0.02720772906344952,0.4363977950089029,2.468638721165217,0.011873392970489014,0.02720772906344952,0.4363977950089029,2.468638721165217,32,186277,0.010345232294574194,0.00901479357391427,0.00901479357391427,0.00901479357391427,0.0017243758777326923,0.05037099655766685,0.2893593452940686,0.0017243758777326923,0.03423350728744375,0.05037099655766685,0.2893593452940686,33,93137
volume_1m,6,0.015523534196882911,0.009852870077158927,0.009852870077158927,0.009852870077158927,0.012557792185955128,0.03263560045944007,0.38478814574170644,2.1766904573932657,0.012557792185955128,0.03263560045944007,0.38478814574170644,2.1766904573932657,32,186274,0.01896904015277836,0.013933839756650261,0.013933839756650261,0.013933839756650261,0.0037810816174485237,0.0844885464430864,0.48534974795724756,0.0037810816174485237,0.04475259400983487,0.0844885464430864,0.48534974795724756,33,93134
volume_1m,12,0.015397528616447288,0.010842717928017704,0.010842717928017704,0.010842717928017704,0.008187039255119464,0.03574482529763077,0.22904124406679127,1.2956529348082497,0.008187039255119464,0.03574482529763077,0.22904124406679127,1.2956529348082497,32,186268,0.023071630278507595,0.025487058699228276,0.025487058699228276,0.025487058699228276,0.013872608605196216,0.2666348375843894,1.5317005282530174,0.013872608605196216,0.05202849234134892,0.2666348375843894,1.5317005282530174,33,93128
volume_ma_20,1,0.005971730956019427,0.00371276618285491,0.00371276618285491,0.00371276618285491,0.0020906035181313776,0.016110039368623305,0.12977023024556592,0.7340912784222342,0.0020906035181313776,0.016110039368623305,0.12977023024556592,0.7340912784222342,32,186260,0.010846141577249465,0.008536604713538095,0.008536604713538095,0.008536604713538095,0.005280447396123399,0.27594941934567724,1.5852087267070358,0.005280447396123399,0.01913556262826801,0.27594941934567724,1.5852087267070358,33,93139
volume_ma_20,3,0.009016281958799981,0.010300782084841786,0.010300782084841786,0.010300782084841786,0.008346825780211849,0.026254427195896338,0.3179206964955795,1.7984310429725965,0.008346825780211849,0.026254427195896338,0.3179206964955795,1.7984310429725965,32,186258,0.01926306047202283,0.016826694577619216,0.016826694577619216,0.016826694577619216,0.01153651892802912,0.3340211856708074,1.9188056263568636,0.01153651892802912,0.03453828506374702,0.3340211856708074,1.9188056263568636,33,93137
volume_ma_20,6,0.01050695923143835,0.013128204855243745,0.013128204855243745,0.013128204855243745,0.010202002068971537,0.03128778312171419,0.32606982825482433,1.8445294935945538,0.010202002068971537,0.03128778312171419,0.32606982825482433,1.8445294935945538,32,186255,0.027560335165478293,0.024425096936344762,0.024425096936344762,0.024425096936344762,0.017483778921471498,0.4064752007227539,2.3350222548159794,0.017483778921471498,0.043013150348123516,0.4064752007227539,2.3350222548159794,33,93134
volume_ma_20,12,0.011435732302215167,0.01530275003256402,0.01530275003256402,0.01530275003256402,0.008998951643165989,0.035669967916051426,0.25228370444136217,1.4271321455467993,0.008998951643165989,0.035669967916051426,0.25228370444136217,1.4271321455467993,32,186249,0.04050088449243274,0.035855919644598944,0.035855919644598944,0.035855919644598944,0.024745562627789496,0.4041244753519247,2.321518365658445,0.024745562627789496,0.06123252645423234,0.4041244753519247,2.321518365658445,33,93128
volume_zscore_20,1,0.0036288327843335337,0.003508813332927285,0.003508813332927285,0.003508813332927285,0.006725030099208145,0.015160778943011932,0.44358077671912216,2.509271801776697,0.006725030099208145,0.015160778943011932,0.44358077671912216,2.509271801776697,32,186260,-0.000777157575205126,-0.00012890433345816182,-0.00012890433345816182,0.00012890433345816182,-0.00043103833526390785,-0.031309959932037244,-0.1798620262901835,-0.00043103833526390785,0.013766812100671428,-0.031309959932037244,-0.1798620262901835,33,93139
volume_zscore_20,3,0.004309044762800959,0.0013545828785726445,0.0013545828785726445,0.0013545828785726445,0.00795902924082492,0.022033442844298704,0.3612249477790699,2.0433968808666947,0.00795902924082492,0.022033442844298704,0.3612249477790699,2.0433968808666947,32,186258,-0.006626878610122587,-0.006862711818824029,-0.006862711818824029,0.006862711818824029,-0.009102837133339394,-0.3754081070103975,-2.1565553887394806,-0.009102837133339394,0.02424784378214634,-0.3754081070103975,-2.1565553887394806,33,93137
volume_zscore_20,6,0.004499207100663143,-0.000811385699094858,-0.000811385699094858,0.000811385699094858,0.0063308804704253815,0.022512009858516927,0.28122235687588915,1.5908338845456362,0.0063308804704253815,0.022512009858516927,0.28122235687588915,1.5908338845456362,32,186255,-0.00573079450879425,-0.009500108113943447,-0.009500108113943447,0.009500108113943447,-0.013045625119182834,-0.38446440063156656,-2.208579834791729,-0.013045625119182834,0.03393194557871301,-0.38446440063156656,-2.208579834791729,33,93134
volume_zscore_20,12,-0.00011624325896880397,-0.0006364936701905271,-0.0006364936701905271,0.0006364936701905271,0.0025051248939740416,0.032873415560751705,0.0762051904629273,0.4310816555035865,0.0025051248939740416,0.032873415560751705,0.0762051904629273,0.4310816555035865,32,186249,-0.007710627531989437,-0.004315314349951242,-0.004315314349951242,0.004315314349951242,-0.007108062072518753,-0.21623419346367884,-1.242170870675727,-0.007108062072518753,0.03287205394605042,-0.21623419346367884,-1.242170870675727,33,93128
volume_ratio_20,1,0.0034614436968091345,0.0033127210154084846,0.0033127210154084846,0.0033127210154084846,0.007547389592222864,0.016227979751793388,0.4650849771604372,2.630917929425086,0.007547389592222864,0.016227979751793388,0.4650849771604372,2.630917929425086,32,186260,-0.0028848712068373895,-0.0009064451442913452,-0.0009064451442913452,0.0009064451442913452,-0.0003438265546856078,-0.021554549831514197,-0.12382146182505901,-0.0003438265546856078,0.015951460706588746,-0.021554549831514197,-0.12382146182505901,33,93139
volume_ratio_20,3,0.0030282253808718144,0.0017418025576017577,0.0017418025576017577,0.0017418025576017577,0.009058023215828982,0.026149290893963274,0.3463965142519441,1.959514593655458,0.009058023215828982,0.026149290893963274,0.3463965142519441,1.959514593655458,32,186258,-0.006685277780856563,-0.007347674548429675,-0.007347674548429675,0.007347674548429675,-0.00782381386283379,-0.3430509701724066,-1.9706777891110383,-0.00782381386283379,0.022806563872714854,-0.3430509701724066,-1.9706777891110383,33,93137
volume_ratio_20,6,0.004391413774716544,-0.0009324141079583015,-0.0009324141079583015,0.0009324141079583015,0.007573513160206965,0.02586147678875566,0.2928492143766462,1.656605322807036,0.007573513160206965,0.02586147678875566,0.2928492143766462,1.656605322807036,32,186255,-0.005935119777092394,-0.011132081021782215,-0.011132081021782215,0.011132081021782215,-0.012200262692174974,-0.4051101398671496,-2.327180577214624,-0.012200262692174974,0.030115915380878603,-0.4051101398671496,-2.327180577214624,33,93134
volume_ratio_20,12,-0.0004542899352473754,-0.0008503641439057863,-0.0008503641439057863,0.0008503641439057863,0.0050266756696721385,0.035060300304027466,0.14337229362221726,0.8110361684363091,0.0050266756696721385,0.035060300304027466,0.14337229362221726,0.8110361684363091,32,186249,-0.008887887281055879,-0.007507980790472344,-0.007507980790472344,0.007507980790472344,-0.007474951330345223,-0.22434378587538514,-1.2887569323226633,-0.007474951330345223,0.033319181546206444,-0.22434378587538514,-1.2887569323226633,33,93128
volume_change_1m,1,-0.0004660194596738126,0.0010706317984621344,0.0010706317984621344,0.0010706317984621344,-0.0011469239473402009,0.015058552893415313,-0.07616428719666143,-0.43085027168799234,-0.0011469239473402009,0.015058552893415313,-0.07616428719666143,-0.43085027168799234,32,186272,-0.001746020190222512,0.00414723981087784,0.00414723981087784,0.00414723981087784,0.008595805522961608,0.26543810111417415,1.5248258006284692,0.008595805522961608,0.03238346524813426,0.26543810111417415,1.5248258006284692,33,93139
volume_change_1m,3,0.0011000343734209855,-0.0015071526352978342,-0.0015071526352978342,0.0015071526352978342,0.00011271628377338967,0.012538689838470599,0.00898947858392342,0.05085217012818795,0.00011271628377338967,0.012538689838470599,0.00898947858392342,0.05085217012818795,32,186270,-0.002680098460646737,-0.0033837906338980463,-0.0033837906338980463,0.0033837906338980463,-0.0008731936773229497,-0.044102261523863304,-0.25334820417783643,-0.0008731936773229497,0.019799294801480263,-0.044102261523863304,-0.25334820417783643,33,93137
volume_change_1m,6,0.002366810988788148,0.0011464370744897429,0.0011464370744897429,0.0011464370744897429,0.0008395700419379643,0.01092817693561263,0.07682617575507787,0.43459447879236074,0.0008395700419379643,0.01092817693561263,0.07682617575507787,0.43459447879236074,32,186267,0.00023926157431719452,0.0005714894018708409,0.0005714894018708409,0.0005714894018708409,0.0010610859924310464,0.0936179421914819,0.5377941337589434,0.0010610859924310464,0.011334216151223974,0.0936179421914819,0.5377941337589434,33,93134
volume_change_1m,12,0.0016190375911512877,-0.0015411630421972074,-0.0015411630421972074,0.0015411630421972074,-0.001366935508824833,0.00856138281193992,-0.15966293516492108,-0.9031899532741102,-0.001366935508824833,0.00856138281193992,-0.15966293516492108,-0.9031899532741102,32,186261,-0.00018390397126219151,-0.0018501099119440075,-0.0018501099119440075,0.0018501099119440075,-0.0019191915136916623,-0.23691925929949273,-1.3609975272173234,-0.0019191915136916623,0.008100614189687244,-0.23691925929949273,-1.3609975272173234,33,93128
buy_volume_zscore_20,1,0.0012924871048936072,-0.0010005899750240737,-0.0010005899750240737,0.0010005899750240737,0.0016905134064278677,0.01641515012839628,0.10298494946467034,0.5825708490129785,0.0016905134064278677,0.01641515012839628,0.10298494946467034,0.5825708490129785,32,186260,-0.002360285334216745,-0.004356077933825562,-0.004356077933825562,0.004356077933825562,-0.005087035175370466,-0.31715011050341513,-1.8218886781433266,-0.005087035175370466,0.016039834157067674,-0.31715011050341513,-1.8218886781433266,33,93139
