factor,horizon,period,ic,rank_ic,spread_qhigh_qlow,sample_count,split
volume_1m,1,2021-01,0.06317388812029752,0.02529955647418356,0.0006377196520312968,2976,train
volume_1m,1,2021-02,0.04319498576363165,-0.014190007573458738,-0.0002041367913888513,2688,train
volume_1m,1,2021-03,0.025471911979081,0.026614669300219645,0.00012413244086621818,2976,train
volume_1m,1,2021-04,0.020503655451006512,0.02374797790550034,2.790975886513003e-07,2880,train
volume_1m,1,2021-05,0.010391125454551592,-0.010339107916803541,-0.0002528593576441742,2976,train
volume_1m,1,2021-06,0.0376694882906561,0.0115054141771234,0.00026931611098862586,2880,train
volume_1m,1,2021-07,0.003689340999163348,-0.00902536870707988,-0.0002233368781309148,2976,train
volume_1m,1,2021-08,0.021404013663071545,0.012313680664089844,0.00034125856715725583,2976,train
volume_1m,1,2021-09,-0.032235450896231775,0.022723714420618865,0.00021696361037583533,2880,train
volume_1m,1,2021-10,0.021652342370097354,0.030998224122241583,0.00034109258752129396,2976,train
volume_1m,1,2021-11,-0.03077065402424134,-0.0325482468189965,-0.0002814732574530098,2880,train
volume_1m,1,2021-12,0.034389607304111766,-0.002417623849263991,3.769897657320767e-05,2976,train
volume_1m,1,2022-01,0.04120637356134312,-0.010770458217703407,-0.00019805538331712737,2976,train
volume_1m,1,2022-02,0.05055320759682867,0.027720267982761015,0.00032347454232402556,2688,train
volume_1m,1,2022-03,0.009553614437309404,0.011898960551027444,4.715515109413142e-05,2976,train
volume_1m,1,2022-04,-0.031590849511029,-0.0041319243463771955,-8.228631273084921e-05,2880,train
volume_1m,1,2022-05,0.03786408907587449,0.01024914106618932,2.6719435061225553e-05,2976,train
volume_1m,1,2022-06,0.07595617977270955,-0.00323434223504319,0.00038502164722080726,2880,train
volume_1m,1,2022-07,0.052575583959149366,0.018316225199457272,0.0004142424710781189,2976,train
volume_1m,1,2022-08,-0.03250409690366452,-0.014711242419729193,-3.283524327454874e-05,2976,train
volume_1m,1,2022-09,0.0055929870658099345,0.0009910817070008955,0.00019753586640192903,2880,train
volume_1m,1,2022-10,0.026041677651481524,0.03612767839109012,0.0002571409630330512,2976,train
volume_1m,1,2022-11,-0.026466507293121715,-0.0004685898079894247,-9.655800759201041e-05,2880,train
volume_1m,1,2022-12,-0.046623633076558514,-0.0115063522241582,-7.29303740727743e-05,2976,train
volume_1m,1,2023-01,0.03651787445177788,0.04100613160299055,0.00012064611535224361,2976,train
volume_1m,1,2023-02,0.022580668927588195,0.012115027299339652,0.0001532054146130654,2688,train
volume_1m,1,2023-03,-0.009017268897063689,-0.003278710926808603,0.00015766715819775658,2976,train
volume_1m,1,2023-04,0.009042116062323113,0.030269626326552817,1.519629431799491e-06,2880,train
volume_1m,1,2023-05,0.03811903282319217,0.001298179647002566,9.775315656908682e-05,2976,train
volume_1m,1,2023-06,-0.023817066309151452,0.016569158923350178,0.0001775346084139298,2880,train
volume_1m,1,2023-07,-0.01922094871551319,-0.02338890358258355,-0.00014669229663540967,2976,train
volume_1m,1,2023-08,0.004754896350083888,-0.020411352686366346,-3.524377523286688e-05,2976,mixed
volume_1m,1,2023-09,-0.016724903471672926,0.014633793657705332,4.685389994407611e-05,2880,test
volume_1m,1,2023-10,-0.024531173960091947,0.012271149689347748,0.00015252414528766993,2976,test
volume_1m,1,2023-11,0.0044358358152592385,-0.00198680659984467,0.00010131413957170596,2880,test
volume_1m,1,2023-12,0.009097553711460347,0.003737995410312075,4.2056364436910817e-05,2976,test
volume_1m,1,2024-01,-0.027099289669745435,-0.0031271309018947066,-0.00017388934700255298,2976,test
volume_1m,1,2024-02,-0.03765758212539206,0.02027290981303086,7.085485221232646e-05,2784,test
volume_1m,1,2024-03,-0.037053927680280076,0.0020284879479038043,0.00011064820299790045,2976,test
volume_1m,1,2024-04,0.0005634361769045574,-0.003682370979098868,-5.5533535182102504e-05,2880,test
volume_1m,1,2024-05,0.0005455520808433485,0.00010248491351234303,-0.00012161079921681493,2976,test
volume_1m,1,2024-06,-0.01002737756038963,-0.01727866351313113,-0.00017958858500392226,2880,test
volume_1m,1,2024-07,0.011560973583723395,0.005803461310024695,-8.605097640590695e-05,2976,test
volume_1m,1,2024-08,0.07669784817257005,0.0016892684893796638,-7.319001474477456e-05,2976,test
volume_1m,1,2024-09,0.014859671446026278,0.029587117822316784,0.00011904350618221594,2880,test
volume_1m,1,2024-10,-0.01035686718688197,-0.01800279144217049,-7.252118795504192e-05,2976,test
volume_1m,1,2024-11,0.060561622405659064,0.026262651261494685,0.0002696305923390496,2880,test
volume_1m,1,2024-12,0.0332258702237629,0.000590123812900163,-0.0001176445467165185,2976,test
volume_1m,1,2025-01,-0.055781309348162465,0.01542364484625916,-5.3752482614775356e-05,2976,test
volume_1m,1,2025-02,0.036836570564209144,4.283811710704623e-05,-0.00010391326241542543,2688,test
volume_1m,1,2025-03,0.024664447502763528,0.00681635081104046,0.00016271996603934742,2976,test
volume_1m,1,2025-04,0.020546170161466953,0.011501922113219093,0.00021396981551838356,2880,test
volume_1m,1,2025-05,-0.01318922737327594,0.019008375463244992,6.003122509752458e-06,2976,test
volume_1m,1,2025-06,0.016672323998683417,-0.01210236344885505,-3.939234641463075e-05,2880,test
volume_1m,1,2025-07,0.0005239251694578074,-0.02541604639154819,-0.00011878236949829964,2976,test
volume_1m,1,2025-08,0.006172932679940009,-0.015826241224244975,-0.00011892895684966059,2976,test
volume_1m,1,2025-09,-0.02285211900524745,0.002484628233436051,-7.70269347475397e-05,2880,test
volume_1m,1,2025-10,0.05299185913774586,-0.019651180886190524,-0.00016047486400229643,2976,test
volume_1m,1,2025-11,0.014887384201114098,0.006632750005614419,-5.78727731346141e-05,2880,test
volume_1m,1,2025-12,-0.009310577608178576,0.021117730749661626,8.39561191449668e-06,2976,test
volume_1m,1,2026-01,-0.01603073220592189,0.008918000189347434,-4.006306535581902e-05,2976,test
volume_1m,1,2026-02,0.04696911734500204,0.012281459402528372,1.2277910362641748e-05,2688,test
volume_1m,1,2026-03,0.035622774870084646,0.021005951433431577,0.00020700023905747552,2976,test
volume_1m,1,2026-04,0.009797337710054237,0.021844955550019966,7.44784814561155e-05,2343,test
volume_1m,3,2021-01,0.0703877557921765,0.05433656247257898,0.0018426824884628357,2976,train
volume_1m,3,2021-02,0.0325680823737082,-0.022912699936459873,-0.0009928771913694221,2688,train
volume_1m,3,2021-03,0.027740812510788308,0.03162282912081471,0.00011253371731092865,2976,train
volume_1m,3,2021-04,0.048840562594191755,0.047167738339546926,0.00043669921210706057,2880,train
volume_1m,3,2021-05,0.03568088412430702,0.026335002577895016,0.00078302367320758,2976,train
